StreetAddressID	StreetAddress	StreetAddressURL	StreetID
1679	5 adelaide avenue	5-adelaide-avenue-deakin-act-2600/2021124311	39
1680	1 barron street	1-20-barron-street-deakin-act-2600/201030389511	40
1681	1 barron street	1-26b-barron-street-deakin-act-2600/20808321511	40
1682	1 barron street	1-barron-street-deakin-act-2600/20202805211	40
1683	10 barron street	10-barron-street-deakin-act-2600/20889035611	40
1684	11 barron street	11-barron-street-deakin-act-2600/20606532611	40
1685	12 barron street	12-barron-street-deakin-act-2600/20876511	40
1686	13 barron street	13-barron-street-deakin-act-2600/20344078611	40
1687	14 barron street	14-barron-street-deakin-act-2600/20566126711	40
1688	14a barron street	14a-barron-street-deakin-act-2600/20606532511	40
1689	15 barron street	15-barron-street-deakin-act-2600/20687181111	40
1690	15a barron street	15a-barron-street-deakin-act-2600/20243261611	40
1691	16 barron street	16-barron-street-deakin-act-2600/20586303611	40
1692	17 barron street	17-barron-street-deakin-act-2600/20162359211	40
1693	18 barron street	18-barron-street-deakin-act-2600/201111119011	40
1694	2 barron street	2-20-barron-street-deakin-act-2600/201070729911	40
1695	2 barron street	2-26a-barron-street-deakin-act-2600/20868838811	40
1696	2 barron street	2-barron-street-deakin-act-2600/20344078711	40
1697	20 barron street	20-barron-street-deakin-act-2600/20828487811	40
1698	23 barron street	23-barron-street-deakin-act-2600/20767882311	40
1699	25 barron street	25-barron-street-deakin-act-2600/20323818611	40
1700	26 barron street	26-barron-street-deakin-act-2600/201272441411	40
1701	26a barron street	26a-barron-street-deakin-act-2600/20162359111	40
1702	26b barron street	26b-barron-street-deakin-act-2600/20788105611	40
1703	27 barron street	27-barron-street-deakin-act-2600/20747710211	40
1704	28 barron street	28-barron-street-deakin-act-2600/20283414811	40
1705	29 barron street	29-barron-street-deakin-act-2600/201131244511	40
1706	3 barron street	3-20-barron-street-deakin-act-2600/20876611	40
1707	3 barron street	3-barron-street-deakin-act-2600/201111119111	40
1708	30 barron street	30-barron-street-deakin-act-2600/201010177211	40
1709	4 barron street	4-20-barron-street-deakin-act-2600/20121935111	40
1710	4 barron street	4-barron-street-deakin-act-2600/20444894911	40
1711	5 barron street	5-20-barron-street-deakin-act-2600/20344078511	40
1712	5 barron street	5-barron-street-deakin-act-2600/20909228611	40
1713	6 barron street	6-20-barron-street-deakin-act-2600/20263343011	40
1714	6 barron street	6-barron-street-deakin-act-2600/201211968111	40
1715	7 barron street	7-20-barron-street-deakin-act-2600/20566126611	40
1716	8 barron street	8-20-barron-street-deakin-act-2600/20444894811	40
1717	8 barron street	8-barron-street-deakin-act-2600/20384285111	40
1718	1 beale crescent	1-beale-crescent-deakin-act-2600/20404496311	41
1719	10 beale crescent	10-beale-crescent-deakin-act-2600/20142144511	41
1720	11 beale crescent	11-13-beale-crescent-deakin-act-2600/20707349911	41
1721	11 beale crescent	11-beale-crescent-deakin-act-2600/201420199611	41
1722	12 beale crescent	12-beale-crescent-deakin-act-2600/20545960311	41
1723	13 beale crescent	13-beale-crescent-deakin-act-2600/201420194411	41
1724	14 beale crescent	14-beale-crescent-deakin-act-2600/201272442911	41
1725	17 beale crescent	17-beale-crescent-deakin-act-2600/20243264111	41
1726	18 beale crescent	18-beale-crescent-deakin-act-2600/20444896611	41
1727	19 beale crescent	19-beale-crescent-deakin-act-2600/20444896511	41
1728	2 beale crescent	2-beale-crescent-deakin-act-2600/201272443011	41
1729	20 beale crescent	20-beale-crescent-deakin-act-2600/201232110111	41
1730	22 beale crescent	22-beale-crescent-deakin-act-2600/20162361511	41
1731	26 beale crescent	26-28-beale-crescent-deakin-act-2600/20303637711	41
1732	26 beale crescent	26-beale-crescent-deakin-act-2600/201420189211	41
1733	28 beale crescent	28-beale-crescent-deakin-act-2600/201420189411	41
1734	3 beale crescent	3-beale-crescent-deakin-act-2600/20879011	41
1735	30 beale crescent	30-beale-crescent-deakin-act-2600/20949683811	41
1736	32 beale crescent	32-beale-crescent-deakin-act-2600/20808322811	41
1737	4 beale crescent	4-beale-crescent-deakin-act-2600/20101869611	41
1738	5 beale crescent	5-beale-crescent-deakin-act-2600/20162361611	41
1739	6 beale crescent	6-beale-crescent-deakin-act-2600/20202807411	41
1740	7 beale crescent	7-beale-crescent-deakin-act-2600/20424681611	41
1741	8 beale crescent	8-beale-crescent-deakin-act-2600/20929480611	41
1742	1 beauchamp street	1-50-beauchamp-street-deakin-act-2600/20101872311	42
1743	1 beauchamp street	1-beauchamp-street-deakin-act-2600/201151453911	42
1744	10 beauchamp street	10-beauchamp-street-deakin-act-2600/20666993711	42
1745	11 beauchamp street	11-beauchamp-street-deakin-act-2600/2061604311	42
1746	11a beauchamp street	11a-beauchamp-street-deakin-act-2600/20263348911	42
1747	12 beauchamp street	12-beauchamp-street-deakin-act-2600/20788110911	42
1748	13 beauchamp street	13-beauchamp-street-deakin-act-2600/201090949211	42
1749	14 beauchamp street	14-beauchamp-street-deakin-act-2600/201211974211	42
1750	15 beauchamp street	15-beauchamp-street-deakin-act-2600/20566131911	42
1751	16 beauchamp street	16-beauchamp-street-deakin-act-2600/20747715211	42
1752	17 beauchamp street	17-beauchamp-street-deakin-act-2600/20626710511	42
1753	19 beauchamp street	19-beauchamp-street-deakin-act-2600/20666993811	42
1754	2 beauchamp street	2-beauchamp-street-deakin-act-2600/20323824111	42
1755	20 beauchamp street	20-beauchamp-street-deakin-act-2600/20889040411	42
1756	21 beauchamp street	21-beauchamp-street-deakin-act-2600/20606537911	42
1757	22 beauchamp street	22-beauchamp-street-deakin-act-2600/201151453811	42
1758	23 beauchamp street	23-beauchamp-street-deakin-act-2600/20586310011	42
1759	24 beauchamp street	24-beauchamp-street-deakin-act-2600/20868843611	42
1760	25 beauchamp street	25-beauchamp-street-deakin-act-2600/20525719111	42
1761	26 beauchamp street	26-beauchamp-street-deakin-act-2600/20909234511	42
1762	27 beauchamp street	27-beauchamp-street-deakin-act-2600/201050553511	42
1763	28 beauchamp street	28-beauchamp-street-deakin-act-2600/201070736011	42
1764	29 beauchamp street	29-beauchamp-street-deakin-act-2600/20283420611	42
1765	3 beauchamp street	3-beauchamp-street-deakin-act-2600/20868843711	42
1766	30 beauchamp street	30-beauchamp-street-deakin-act-2600/20646849511	42
1767	31 beauchamp street	31-beauchamp-street-deakin-act-2600/20848690811	42
1768	32 beauchamp street	32-beauchamp-street-deakin-act-2600/201272446211	42
1769	34 beauchamp street	34-beauchamp-street-deakin-act-2600/201211974311	42
1770	36 beauchamp street	36-beauchamp-street-deakin-act-2600/20182595911	42
1771	38 beauchamp street	38-beauchamp-street-deakin-act-2600/2081738811	42
1772	40 beauchamp street	40-beauchamp-street-deakin-act-2600/2021134911	42
1773	42 beauchamp street	42-beauchamp-street-deakin-act-2600/20485278211	42
1774	44 beauchamp street	44-beauchamp-street-deakin-act-2600/2061604411	42
1775	46 beauchamp street	46-beauchamp-street-deakin-act-2600/201070735911	42
1776	48 beauchamp street	48-beauchamp-street-deakin-act-2600/201151454011	42
1777	5 beauchamp street	5-beauchamp-street-deakin-act-2600/20788111011	42
1778	50 beauchamp street	50-beauchamp-street-deakin-act-2600/20767888011	42
1779	52 beauchamp street	52-beauchamp-street-deakin-act-2600/2061604511	42
1780	54 beauchamp street	54-beauchamp-street-deakin-act-2600/20424686711	42
1781	7 beauchamp street	7-beauchamp-street-deakin-act-2600/20747715311	42
