StreetAddressID	StreetAddress	StreetAddressURL	StreetID
5991	77 brian lewis	77-brian-lewis-crescent-acton-act-2601/201317082211	192
5992	77a brian lewis	77a-brian-lewis-crescent-acton-act-2601/201317082311	192
5993	16 clunies ross	16-clunies-ross-street-acton-act-2601/201210751411	194
5994	16a clunies ross	16a-clunies-ross-street-acton-act-2601/201317453811	194
5995	16b clunies ross	16b-clunies-ross-street-acton-act-2601/201317453911	194
5996	16c clunies ross	16c-clunies-ross-street-acton-act-2601/201317454011	194
5997	40 clunies ross	40-clunies-ross-street-acton-act-2601/201317158411	194
5998	401 clunies ross	401-clunies-ross-street-acton-act-2601/201316606711	194
5999	401a clunies ross	401a-clunies-ross-street-acton-act-2601/201316830111	194
6000	401b clunies ross	401b-clunies-ross-street-acton-act-2601/201316830211	194
6001	401c clunies ross	401c-clunies-ross-street-acton-act-2601/201316830311	194
6002	106 daley road	106-daley-road-acton-act-2601/201317087311	197
6003	46 daley road	46-daley-road-acton-act-2601/201566430111	197
6004	47 daley road	47-daley-road-acton-act-2601/201317087511	197
6005	79 daley road	79-daley-road-acton-act-2601/201317087611	197
6006	95 daley road	95-daley-road-acton-act-2601/201317087711	197
6007	83 dickson road	83-dickson-road-acton-act-2601/201317088011	199
6008	83a dickson road	83a-dickson-road-acton-act-2601/201317088111	199
6009	10 east road	10-east-road-acton-act-2601/201317089911	202
6010	10a east road	10a-east-road-acton-act-2601/201317090011	202
6011	10b east road	10b-east-road-acton-act-2601/201317090111	202
6012	10c east road	10c-east-road-acton-act-2601/201317090211	202
6013	124 eggleston road	124-eggleston-road-acton-act-2601/201317090911	204
6014	62 eggleston road	62-eggleston-road-acton-act-2601/201317091011	204
6015	63 eggleston road	63-eggleston-road-acton-act-2601/201317091111	204
6016	100 ellery crescent	100-ellery-crescent-acton-act-2601/201317091211	205
6017	105 ellery crescent	105-ellery-crescent-acton-act-2601/201317091311	205
6018	105a ellery crescent	105a-ellery-crescent-acton-act-2601/201317091411	205
