StreetAddressID	StreetAddress	StreetAddressURL	StreetID
31972	1 blueberry street	1-blueberry-street-kingston-act-2604/20142616611	896
31973	10 blueberry street	10-blueberry-street-kingston-act-2604/20384768411	896
31974	12 blueberry street	12-blueberry-street-kingston-act-2604/201351111	896
31975	14 blueberry street	14-blueberry-street-kingston-act-2604/20445379211	896
31976	16 blueberry street	16-blueberry-street-kingston-act-2604/20526190211	896
31977	18 blueberry street	18-blueberry-street-kingston-act-2604/20728019711	896
31978	2 blueberry street	2-blueberry-street-kingston-act-2604/201212445911	896
31979	20 blueberry street	20-blueberry-street-kingston-act-2604/2062078611	896
31980	22 blueberry street	22-blueberry-street-kingston-act-2604/20263820911	896
31981	26 blueberry street	26-blueberry-street-kingston-act-2604/20849162911	896
31982	28 blueberry street	28-blueberry-street-kingston-act-2604/20283895311	896
31983	3 blueberry street	3-blueberry-street-kingston-act-2604/201071208511	896
31984	30 blueberry street	30-blueberry-street-kingston-act-2604/20929958211	896
31985	32 blueberry street	32-blueberry-street-kingston-act-2604/20808805611	896
31986	34 blueberry street	34-blueberry-street-kingston-act-2604/201131731411	896
31987	36 blueberry street	36-blueberry-street-kingston-act-2604/20344545611	896
31988	38 blueberry street	38-blueberry-street-kingston-act-2604/20304116011	896
31989	4 blueberry street	4-blueberry-street-kingston-act-2604/20263821011	896
31990	40 blueberry street	40-blueberry-street-kingston-act-2604/20203284711	896
31991	42 blueberry street	42-blueberry-street-kingston-act-2604/201071208611	896
31992	5 blueberry street	5-blueberry-street-kingston-act-2604/201212446011	896
31993	6 blueberry street	6-blueberry-street-kingston-act-2604/20404964111	896
31994	7 blueberry street	7-blueberry-street-kingston-act-2604/20788580811	896
31995	8 blueberry street	8-blueberry-street-kingston-act-2604/201351211	896
31996	9 blueberry street	9-blueberry-street-kingston-act-2604/20627180611	896
31997	1 burke crescent	1-10-burke-crescent-kingston-act-2604/201172084911	897
31998	10 burke crescent	10-10-burke-crescent-kingston-act-2604/201151920211	897
31999	10 burke crescent	10-burke-crescent-kingston-act-2604/20768358011	897
32000	11 burke crescent	11-10-burke-crescent-kingston-act-2604/201131734211	897
