StreetAddressID	StreetAddress	StreetAddressURL	StreetID
42323	1 astley place	1-astley-place-garran-act-2605/20588849811	1110
42324	2 astley place	2-astley-place-garran-act-2605/20164897911	1110
42325	3 astley place	3-astley-place-garran-act-2605/20992556411	1110
42326	4 astley place	4-astley-place-garran-act-2605/20447418511	1110
42327	5 astley place	5-astley-place-garran-act-2605/20528260511	1110
42328	1 bateson road	1-bateson-road-garran-act-2605/201012733311	1111
42329	10 becke place	10-becke-place-garran-act-2605/20609094811	1112
42330	11 becke place	11-becke-place-garran-act-2605/20487839911	1112
42331	12 becke place	12-becke-place-garran-act-2605/20851233911	1112
42332	13 becke place	13-becke-place-garran-act-2605/20709889511	1112
42333	14 becke place	14-becke-place-garran-act-2605/20568669511	1112
42334	16 becke place	16-becke-place-garran-act-2605/20366669711	1112
42335	3 becke place	3-becke-place-garran-act-2605/20871370011	1112
42336	4 becke place	4-becke-place-garran-act-2605/20952215311	1112
42337	5 becke place	5-becke-place-garran-act-2605/20750256211	1112
42338	6 becke place	6-becke-place-garran-act-2605/201093496311	1112
42339	7 becke place	7-becke-place-garran-act-2605/201133796811	1112
42340	8 becke place	8-becke-place-garran-act-2605/20770434311	1112
42341	9 becke place	9-becke-place-garran-act-2605/201012739511	1112
42342	1 boake place	1-6-boake-place-garran-act-2605/20487846211	1113
42343	10 boake place	10-6-boake-place-garran-act-2605/20144688211	1113
42344	11 boake place	11-6-boake-place-garran-act-2605/20609101511	1113
42345	12 boake place	12-6-boake-place-garran-act-2605/20366677711	1113
42346	13 boake place	13-6-boake-place-garran-act-2605/20709894511	1113
42347	14 boake place	14-6-boake-place-garran-act-2605/20548508711	1113
42348	15 boake place	15-6-boake-place-garran-act-2605/20810866111	1113
42349	16 boake place	16-6-boake-place-garran-act-2605/201012745411	1113
42350	17 boake place	17-6-boake-place-garran-act-2605/20568676911	1113
42351	18 boake place	18-6-boake-place-garran-act-2605/20386850711	1113
42352	19 boake place	19-6-boake-place-garran-act-2605/20851241311	1113
42353	2 boake place	2-6-boake-place-garran-act-2605/2023676711	1113
42354	2 boake place	2-boake-place-garran-act-2605/20467668811	1113
42355	20 boake place	20-6-boake-place-garran-act-2605/201053098111	1113
42356	21 boake place	21-7-boake-place-garran-act-2605/20487846311	1113
42357	22 boake place	22-7-boake-place-garran-act-2605/20104423711	1113
42358	23 boake place	23-7-boake-place-garran-act-2605/20326363311	1113
42359	24 boake place	24-7-boake-place-garran-act-2605/20730081911	1113
42360	25 boake place	25-7-boake-place-garran-act-2605/20851241211	1113
42361	26 boake place	26-7-boake-place-garran-act-2605/201032960811	1113
42362	27 boake place	27-7-boake-place-garran-act-2605/20992571511	1113
42363	28 boake place	28-7-boake-place-garran-act-2605/2023676611	1113
42364	29 boake place	29-7-boake-place-garran-act-2605/20346622111	1113
42365	3 boake place	3-6-boake-place-garran-act-2605/20104423811	1113
42366	30 boake place	30-7-boake-place-garran-act-2605/20588871011	1113
42367	31 boake place	31-7-boake-place-garran-act-2605/20891570611	1113
42368	32 boake place	32-7-boake-place-garran-act-2605/201214523611	1113
42369	33 boake place	33-7-boake-place-garran-act-2605/20689735811	1113
42370	34 boake place	34-7-boake-place-garran-act-2605/20447434611	1113
42371	4 boake place	4-6-boake-place-garran-act-2605/201053098011	1113
42372	4 boake place	4-boake-place-garran-act-2605/201174173111	1113
42373	5 boake place	5-6-boake-place-garran-act-2605/20366677611	1113
42374	6 boake place	6-6-boake-place-garran-act-2605/201133804111	1113
42375	6 boake place	6-boake-place-garran-act-2605/201012745311	1113
42376	7 boake place	7-6-boake-place-garran-act-2605/201093502611	1113
42377	7 boake place	7-boake-place-garran-act-2605/203440711	1113
42378	8 boake place	8-6-boake-place-garran-act-2605/20649406511	1113
42379	9 boake place	9-6-boake-place-garran-act-2605/20144688311	1113
42380	10 bonwick place	10-bonwick-place-garran-act-2605/20669546811	1114
42381	2 bonwick place	2-bonwick-place-garran-act-2605/20750264111	1114
42382	3 bonwick place	3-bonwick-place-garran-act-2605/20871376811	1114
42383	4 bonwick place	4-bonwick-place-garran-act-2605/20790663711	1114
42384	5 bonwick place	5-bonwick-place-garran-act-2605/201032962811	1114
42385	6 bonwick place	6-bonwick-place-garran-act-2605/20144689811	1114
42386	7 bonwick place	7-bonwick-place-garran-act-2605/201012747111	1114
42387	8 bonwick place	8-bonwick-place-garran-act-2605/20871376911	1114
42388	9 bonwick place	9-bonwick-place-garran-act-2605/201153992411	1114
42389	1 boothby place	1-17-boothby-place-garran-act-2605/20225654811	1115
42390	1 boothby place	1-21-boothby-place-garran-act-2605/20467674811	1115
42391	1 boothby place	1-boothby-place-garran-act-2605/20447439311	1115
42392	11 boothby place	11-boothby-place-garran-act-2605/20265911211	1115
42393	13 boothby place	13-boothby-place-garran-act-2605/20568682111	1115
42394	15 boothby place	15-boothby-place-garran-act-2605/20185144711	1115
42395	17 boothby place	17-boothby-place-garran-act-2605/20851247411	1115
42396	19 boothby place	19-boothby-place-garran-act-2605/20649412311	1115
42397	19a boothby place	19a-boothby-place-garran-act-2605/20709899611	1115
42398	2 boothby place	2-17-boothby-place-garran-act-2605/20992576511	1115
42399	2 boothby place	2-21-boothby-place-garran-act-2605/20891576411	1115
42400	2 boothby place	2-boothby-place-garran-act-2605/201274989111	1115
42401	21 boothby place	21-boothby-place-garran-act-2605/20750268911	1115
42402	23 boothby place	23-boothby-place-garran-act-2605/20104429511	1115
42403	2a boothby place	2a-boothby-place-garran-act-2605/20467674711	1115
42404	3 boothby place	3-boothby-place-garran-act-2605/201274989011	1115
42405	4 boothby place	4-boothby-place-garran-act-2605/201032966911	1115
42406	4a boothby place	4a-boothby-place-garran-act-2605/20750268811	1115
42407	5 boothby place	5-boothby-place-garran-act-2605/20871380911	1115
42408	6 boothby place	6-boothby-place-garran-act-2605/2064154911	1115
42409	6a boothby place	6a-boothby-place-garran-act-2605/20992576411	1115
42410	7 boothby place	7-boothby-place-garran-act-2605/201073296211	1115
42411	8 boothby place	8-boothby-place-garran-act-2605/201113696311	1115
42412	8a boothby place	8a-boothby-place-garran-act-2605/20871380811	1115
42413	9 boothby place	9-boothby-place-garran-act-2605/20568682211	1115
42414	1 brady place	1-6-brady-place-garran-act-2605/20770449311	1116
42415	1 brady place	1-brady-place-garran-act-2605/201623663211	1116
42416	2 brady place	2-6-brady-place-garran-act-2605/20891578811	1116
42417	2 brady place	2-brady-place-garran-act-2605/20548516511	1116
42418	3 brady place	3-brady-place-garran-act-2605/2064158311	1116
42419	4 brady place	4-brady-place-garran-act-2605/20306193911	1116
42420	5 brady place	5-brady-place-garran-act-2605/20972386411	1116
42421	6 brady place	6-brady-place-garran-act-2605/20851250411	1116
42422	7 brady place	7-brady-place-garran-act-2605/201032969411	1116
42423	7a brady place	7a-brady-place-garran-act-2605/201317081611	1116
42424	8 brady place	8-brady-place-garran-act-2605/2084282511	1116
42425	1 brent place	1-2-brent-place-garran-act-2605/20588880311	1117
42426	1 brent place	1-brent-place-garran-act-2605/20205362711	1117
42427	10 brent place	10-brent-place-garran-act-2605/20366686511	1117
42428	2 brent place	2-brent-place-garran-act-2605/20285989811	1117
42429	3 brent place	3-brent-place-garran-act-2605/20669553511	1117
42430	4 brent place	4-brent-place-garran-act-2605/20245820011	1117
42431	5 brent place	5-brent-place-garran-act-2605/20932040011	1117
42432	6 brent place	6-brent-place-garran-act-2605/20770450011	1117
42433	7 brent place	7-brent-place-garran-act-2605/20487855111	1117
42434	8 brent place	8-brent-place-garran-act-2605/201032970811	1117
42435	9 brent place	9-brent-place-garran-act-2605/20548517411	1117
42436	1 brereton street	1-brereton-street-garran-act-2605/201093511111	1118
42437	10 brereton street	10-brereton-street-garran-act-2605/20790671411	1118
42438	11 brereton street	11-brereton-street-garran-act-2605/20609110911	1118
42439	12 brereton street	12-brereton-street-garran-act-2605/20972387511	1118
42440	13 brereton street	13-brereton-street-garran-act-2605/20225659411	1118
42441	16 brereton street	16-brereton-street-garran-act-2605/20709904111	1118
