StreetAddressID	StreetAddress	StreetAddressURL	StreetID
43904	10 birdwood street	10-birdwood-street-hughes-act-2605/20850364511	1164
43905	11 birdwood street	11-birdwood-street-hughes-act-2605/20870511011	1164
43906	12 birdwood street	12-birdwood-street-hughes-act-2605/20143823111	1164
43907	14 birdwood street	14-birdwood-street-hughes-act-2605/20587989711	1164
43908	16 birdwood street	16-birdwood-street-hughes-act-2605/20547637711	1164
43909	17 birdwood street	17-birdwood-street-hughes-act-2605/20547637811	1164
43910	18 birdwood street	18-birdwood-street-hughes-act-2605/201213652811	1164
43911	19 birdwood street	19-birdwood-street-hughes-act-2605/20345745211	1164
43912	2 birdwood street	2-82-birdwood-street-hughes-act-2605/20810005611	1164
43913	20 birdwood street	20-birdwood-street-hughes-act-2605/20951348411	1164
43914	24 birdwood street	24-birdwood-street-hughes-act-2605/201253972611	1164
43915	25 birdwood street	25-birdwood-street-hughes-act-2605/20325498911	1164
43916	26 birdwood street	26-birdwood-street-hughes-act-2605/201153113011	1164
43917	27 birdwood street	27-birdwood-street-hughes-act-2605/201032085111	1164
43918	28 birdwood street	28-birdwood-street-hughes-act-2605/20446568111	1164
43919	3 birdwood street	3-birdwood-street-hughes-act-2605/20385976011	1164
43920	30 birdwood street	30-birdwood-street-hughes-act-2605/20709027011	1164
43921	31 birdwood street	31-birdwood-street-hughes-act-2605/20587989811	1164
43922	32 birdwood street	32-birdwood-street-hughes-act-2605/201132932111	1164
43923	33 birdwood street	33-birdwood-street-hughes-act-2605/201173295711	1164
43924	34 birdwood street	34-birdwood-street-hughes-act-2605/20244942611	1164
43925	35 birdwood street	35-birdwood-street-hughes-act-2605/201153113111	1164
43926	36 birdwood street	36-birdwood-street-hughes-act-2605/20446568311	1164
43927	37 birdwood street	37-birdwood-street-hughes-act-2605/201213652911	1164
43928	38 birdwood street	38-birdwood-street-hughes-act-2605/201052238511	1164
43929	39 birdwood street	39-birdwood-street-hughes-act-2605/20890703611	1164
43930	4 birdwood street	4-birdwood-street-hughes-act-2605/201112806511	1164
43931	41 birdwood street	41-birdwood-street-hughes-act-2605/202558411	1164
43932	43 birdwood street	43-birdwood-street-hughes-act-2605/20406159211	1164
43933	45 birdwood street	45-birdwood-street-hughes-act-2605/20406159311	1164
43934	46 birdwood street	46-birdwood-street-hughes-act-2605/20143823211	1164
