StreetAddressID	StreetAddress	StreetAddressURL	StreetID
52414	2 adam place	2-adam-place-farrer-act-2607/2069669911	1401
52415	3 adam place	3-adam-place-farrer-act-2607/20675087911	1401
52416	4 adam place	4-adam-place-farrer-act-2607/20291517811	1401
52417	5 adam place	5-adam-place-farrer-act-2607/20695307111	1401
52418	6 adam place	6-adam-place-farrer-act-2607/20735612711	1401
52419	7 adam place	7-adam-place-farrer-act-2607/201038484611	1401
52420	8 adam place	8-adam-place-farrer-act-2607/20876965311	1401
52421	9 adam place	9-adam-place-farrer-act-2607/20998123911	1401
52422	1 aird place	1-aird-place-farrer-act-2607/20251351011	1402
52423	3 aird place	3-aird-place-farrer-act-2607/201199903011	1402
52424	4 aird place	4-aird-place-farrer-act-2607/201220123711	1402
52425	5 aird place	5-aird-place-farrer-act-2607/20735651311	1402
52426	6 aird place	6-aird-place-farrer-act-2607/20432857111	1402
52427	1 beasley street	1-176-beasley-street-farrer-act-2607/201038560011	1404
52428	1 beasley street	1-188b-beasley-street-farrer-act-2607/20937644711	1404
52429	1 beasley street	1-200a-beasley-street-farrer-act-2607/20655031911	1404
52430	10 beasley street	10-194a-beasley-street-farrer-act-2607/20493483911	1404
52431	11 beasley street	11-196-beasley-street-farrer-act-2607/20130083611	1404
52432	12 beasley street	12-196a-beasley-street-farrer-act-2607/20917447011	1404
52433	13 beasley street	13-198-beasley-street-farrer-act-2607/20937644811	1404
52434	14 beasley street	14-198a-beasley-street-farrer-act-2607/20332028711	1404
52435	176 beasley street	176-beasley-street-farrer-act-2607/20574297011	1404
52436	178 beasley street	178-beasley-street-farrer-act-2607/20675165611	1404
52437	180 beasley street	180-beasley-street-farrer-act-2607/2069749811	1404
52438	182 beasley street	182-beasley-street-farrer-act-2607/2029321411	1404
52439	184 beasley street	184-beasley-street-farrer-act-2607/20332028911	1404
52440	186 beasley street	186-beasley-street-farrer-act-2607/201179819211	1404
52441	188 beasley street	188-beasley-street-farrer-act-2607/209102411	1404
