StreetAddressID	StreetAddress	StreetAddressURL	StreetID
57885	1 basedow street	1-1-basedow-street-torrens-act-2607/201217597611	1610
57886	1 basedow street	1-12-basedow-street-torrens-act-2607/201116740911	1610
57887	1 basedow street	1-1a-basedow-street-torrens-act-2607/201454395111	1610
57888	1 basedow street	1-20-basedow-street-torrens-act-2607/20248876111	1610
57889	1 basedow street	1-24-basedow-street-torrens-act-2607/206536411	1610
57890	1 basedow street	1-basedow-street-torrens-act-2607/201136886411	1610
57891	10 basedow street	10-1-basedow-street-torrens-act-2607/20268944711	1610
57892	10 basedow street	10-1a-basedow-street-torrens-act-2607/20692847211	1610
57893	11 basedow street	11-1-basedow-street-torrens-act-2607/20975420011	1610
57894	11 basedow street	11-1a-basedow-street-torrens-act-2607/20894669611	1610
57895	12 basedow street	12-1-basedow-street-torrens-act-2607/20248876211	1610
57896	12 basedow street	12-1a-basedow-street-torrens-act-2607/20632343411	1610
57897	12 basedow street	12-basedow-street-torrens-act-2607/201076409011	1610
57898	12a basedow street	12a-basedow-street-torrens-act-2607/20349657111	1610
57899	13 basedow street	13-basedow-street-torrens-act-2607/201217597711	1610
57900	14 basedow street	14-basedow-street-torrens-act-2607/20369735911	1610
57901	15 basedow street	15-basedow-street-torrens-act-2607/20208495111	1610
57902	16 basedow street	16-basedow-street-torrens-act-2607/20591939611	1610
57903	19 basedow street	19-basedow-street-torrens-act-2607/20268944811	1610
57904	1a basedow street	1a-basedow-street-torrens-act-2607/20490907311	1610
57905	2 basedow street	2-1-basedow-street-torrens-act-2607/20389915611	1610
57906	2 basedow street	2-12-basedow-street-torrens-act-2607/206536311	1610
57907	2 basedow street	2-1a-basedow-street-torrens-act-2607/201036043911	1610
57908	2 basedow street	2-20-basedow-street-torrens-act-2607/201217597511	1610
57909	2 basedow street	2-24-basedow-street-torrens-act-2607/20168031411	1610
57910	2 basedow street	2-basedow-street-torrens-act-2607/201177252711	1610
57911	20 basedow street	20-basedow-street-torrens-act-2607/20490907411	1610
57912	21 basedow street	21-basedow-street-torrens-act-2607/201217597811	1610
57913	22 basedow street	22-basedow-street-torrens-act-2607/20975420111	1610
57914	23 basedow street	23-basedow-street-torrens-act-2607/20188204011	1610
57915	24 basedow street	24-basedow-street-torrens-act-2607/20813960511	1610
57916	25 basedow street	25-basedow-street-torrens-act-2607/20834101511	1610
57917	2a basedow street	2a-basedow-street-torrens-act-2607/20107478511	1610
57918	3 basedow street	3-1-basedow-street-torrens-act-2607/201056157111	1610
57919	3 basedow street	3-1a-basedow-street-torrens-act-2607/20813960611	1610
57920	30 basedow street	30-basedow-street-torrens-act-2607/20511135411	1610
57921	30a basedow street	30a-basedow-street-torrens-act-2607/20208495211	1610
57922	32 basedow street	32-basedow-street-torrens-act-2607/20389915711	1610
57923	33 basedow street	33-basedow-street-torrens-act-2607/20813960411	1610
57924	34 basedow street	34-basedow-street-torrens-act-2607/20349657211	1610
57925	35 basedow street	35-basedow-street-torrens-act-2607/20935079511	1610
57926	36 basedow street	36-basedow-street-torrens-act-2607/20652482411	1610
57927	38 basedow street	38-basedow-street-torrens-act-2607/201076408911	1610
57928	4 basedow street	4-1-basedow-street-torrens-act-2607/20268944611	1610
57929	4 basedow street	4-1a-basedow-street-torrens-act-2607/20389915811	1610
57930	4 basedow street	4-basedow-street-torrens-act-2607/2087369811	1610
57931	41 basedow street	41-basedow-street-torrens-act-2607/20773508111	1610
57932	42 basedow street	42-basedow-street-torrens-act-2607/2026764911	1610
57933	43 basedow street	43-basedow-street-torrens-act-2607/20632343311	1610
57934	44 basedow street	44-basedow-street-torrens-act-2607/201116740711	1610
57935	45 basedow street	45-basedow-street-torrens-act-2607/20168031311	1610
57936	45a basedow street	45a-basedow-street-torrens-act-2607/20430344811	1610
57937	46 basedow street	46-basedow-street-torrens-act-2607/20874468711	1610
57938	47 basedow street	47-basedow-street-torrens-act-2607/2067201411	1610
57939	49 basedow street	49-basedow-street-torrens-act-2607/20329476611	1610
57940	4a basedow street	4a-basedow-street-torrens-act-2607/201217597911	1610
57941	5 basedow street	5-1-basedow-street-torrens-act-2607/20753343511	1610
57942	5 basedow street	5-1a-basedow-street-torrens-act-2607/201217598011	1610
57943	6 basedow street	6-1-basedow-street-torrens-act-2607/20168031211	1610
57944	6 basedow street	6-1a-basedow-street-torrens-act-2607/20591939711	1610
57945	6 basedow street	6-basedow-street-torrens-act-2607/20107478411	1610
57946	6a basedow street	6a-basedow-street-torrens-act-2607/20531352611	1610
57947	7 basedow street	7-1-basedow-street-torrens-act-2607/201257878011	1610
57948	7 basedow street	7-1a-basedow-street-torrens-act-2607/20793737211	1610
57949	8 basedow street	8-1-basedow-street-torrens-act-2607/20389915511	1610
57950	8 basedow street	8-1a-basedow-street-torrens-act-2607/20349657311	1610
57951	8 basedow street	8-basedow-street-torrens-act-2607/201116740811	1610
57952	8a basedow street	8a-basedow-street-torrens-act-2607/20470747811	1610
57953	9 basedow street	9-1-basedow-street-torrens-act-2607/201157050611	1610
57954	9 basedow street	9-1a-basedow-street-torrens-act-2607/20511135511	1610
57955	1 batchelor street	1-1-batchelor-street-torrens-act-2607/20531381811	1611
57956	1 batchelor street	1-112-batchelor-street-torrens-act-2607/20329506611	1611
57957	1 batchelor street	1-21a-batchelor-street-torrens-act-2607/20551604911	1611
57958	1 batchelor street	1-97-batchelor-street-torrens-act-2607/20571793111	1611
57959	1 batchelor street	1-batchelor-street-torrens-act-2607/20753375311	1611
57960	10 batchelor street	10-batchelor-street-torrens-act-2607/20753375111	1611
57961	100 batchelor street	100-batchelor-street-torrens-act-2607/20349687411	1611
57962	101 batchelor street	101-batchelor-street-torrens-act-2607/201257910711	1611
57963	102 batchelor street	102-batchelor-street-torrens-act-2607/20874501811	1611
57964	104 batchelor street	104-batchelor-street-torrens-act-2607/20652513611	1611
57965	106 batchelor street	106-batchelor-street-torrens-act-2607/20208527011	1611
57966	108 batchelor street	108-batchelor-street-torrens-act-2607/201257910811	1611
57967	110 batchelor street	110-batchelor-street-torrens-act-2607/20935111511	1611
57968	112 batchelor street	112-batchelor-street-torrens-act-2607/20551605111	1611
57969	114 batchelor street	114-batchelor-street-torrens-act-2607/201036077611	1611
57970	116 batchelor street	116-batchelor-street-torrens-act-2607/201076440411	1611
57971	118 batchelor street	118-batchelor-street-torrens-act-2607/20612201011	1611
57972	12 batchelor street	12-batchelor-street-torrens-act-2607/206571211	1611
57973	14 batchelor street	14-batchelor-street-torrens-act-2607/20894704411	1611
57974	16 batchelor street	16-batchelor-street-torrens-act-2607/20632377011	1611
57975	17 batchelor street	17-batchelor-street-torrens-act-2607/20733168311	1611
57976	18 batchelor street	18-batchelor-street-torrens-act-2607/20854342911	1611
57977	19 batchelor street	19-batchelor-street-torrens-act-2607/20188234911	1611
57978	2 batchelor street	2-1-batchelor-street-torrens-act-2607/20531381911	1611
57979	2 batchelor street	2-110-batchelor-street-torrens-act-2607/20188235011	1611
57980	2 batchelor street	2-21b-batchelor-street-torrens-act-2607/20914933111	1611
57981	2 batchelor street	2-97-batchelor-street-torrens-act-2607/20632376911	1611
57982	20 batchelor street	20-batchelor-street-torrens-act-2607/2047021911	1611
57983	21a batchelor street	21a-batchelor-street-torrens-act-2607/201116772811	1611
57984	21b batchelor street	21b-batchelor-street-torrens-act-2607/201116772911	1611
57985	22 batchelor street	22-batchelor-street-torrens-act-2607/20430379611	1611
57986	23 batchelor street	23-batchelor-street-torrens-act-2607/20995679211	1611
57987	24 batchelor street	24-batchelor-street-torrens-act-2607/20914933211	1611
57988	25 batchelor street	25-batchelor-street-torrens-act-2607/20551605011	1611
57989	26 batchelor street	26-batchelor-street-torrens-act-2607/20753375211	1611
57990	27 batchelor street	27-batchelor-street-torrens-act-2607/20874501911	1611
57991	27a batchelor street	27a-batchelor-street-torrens-act-2607/201056188511	1611
57992	29 batchelor street	29-batchelor-street-torrens-act-2607/20329506511	1611
57993	3 batchelor street	3-1-batchelor-street-torrens-act-2607/20127537811	1611
57994	3 batchelor street	3-108-batchelor-street-torrens-act-2607/20511168911	1611
57995	3 batchelor street	3-97-batchelor-street-torrens-act-2607/201116772711	1611
57996	31 batchelor street	31-batchelor-street-torrens-act-2607/20228737511	1611
57997	32 batchelor street	32-76-batchelor-street-torrens-act-2607/20107513011	1611
57998	33 batchelor street	33-batchelor-street-torrens-act-2607/20248911311	1611
57999	35 batchelor street	35-batchelor-street-torrens-act-2607/20208526811	1611
58000	37 batchelor street	37-batchelor-street-torrens-act-2607/201036077711	1611
58001	39 batchelor street	39-batchelor-street-torrens-act-2607/20248911411	1611
58002	4 batchelor street	4-1-batchelor-street-torrens-act-2607/20854343111	1611
58003	4 batchelor street	4-106-batchelor-street-torrens-act-2607/20430379811	1611
58004	4 batchelor street	4-97-batchelor-street-torrens-act-2607/201056188311	1611
58005	4 batchelor street	4-batchelor-street-torrens-act-2607/2026796311	1611
58006	41 batchelor street	41-batchelor-street-torrens-act-2607/20430379711	1611
58007	43 batchelor street	43-batchelor-street-torrens-act-2607/201237759811	1611
58008	45 batchelor street	45-batchelor-street-torrens-act-2607/20854343011	1611
58009	47 batchelor street	47-batchelor-street-torrens-act-2607/201015822711	1611
58010	49 batchelor street	49-batchelor-street-torrens-act-2607/20107512811	1611
58011	5 batchelor street	5-1-batchelor-street-torrens-act-2607/20450537611	1611
58012	5 batchelor street	5-104-batchelor-street-torrens-act-2607/201036077811	1611
58013	5 batchelor street	5-97-batchelor-street-torrens-act-2607/2047021811	1611
58014	51 batchelor street	51-batchelor-street-torrens-act-2607/20894704311	1611
58015	53 batchelor street	53-batchelor-street-torrens-act-2607/20107512711	1611
58016	59 batchelor street	59-batchelor-street-torrens-act-2607/20208526911	1611
58017	6 batchelor street	6-1-batchelor-street-torrens-act-2607/201217627011	1611
58018	6 batchelor street	6-97-batchelor-street-torrens-act-2607/20470781111	1611
58019	6 batchelor street	6-batchelor-street-torrens-act-2607/201136919611	1611
58020	61 batchelor street	61-batchelor-street-torrens-act-2607/201197401511	1611
58021	63 batchelor street	63-batchelor-street-torrens-act-2607/201136919511	1611
58022	7 batchelor street	7-97-batchelor-street-torrens-act-2607/201096580111	1611
58023	78 batchelor street	78-batchelor-street-torrens-act-2607/20672637311	1611
58024	8 batchelor street	8-97-batchelor-street-torrens-act-2607/20127537711	1611
58025	8 batchelor street	8-batchelor-street-torrens-act-2607/201278092111	1611
58026	80 batchelor street	80-batchelor-street-torrens-act-2607/20410123811	1611
58027	82 batchelor street	82-batchelor-street-torrens-act-2607/2067232711	1611
58028	88 batchelor street	88-batchelor-street-torrens-act-2607/20107512911	1611
58029	89 batchelor street	89-batchelor-street-torrens-act-2607/20975453011	1611
58030	9 batchelor street	9-97-batchelor-street-torrens-act-2607/20208526711	1611
58031	90 batchelor street	90-batchelor-street-torrens-act-2607/20531381611	1611
58032	92 batchelor street	92-batchelor-street-torrens-act-2607/20591975811	1611
58033	94 batchelor street	94-batchelor-street-torrens-act-2607/20531381711	1611
58034	95 batchelor street	95-batchelor-street-torrens-act-2607/206571311	1611
58035	96 batchelor street	96-batchelor-street-torrens-act-2607/201015822611	1611
58036	97 batchelor street	97-batchelor-street-torrens-act-2607/20168064411	1611
58037	99 batchelor street	99-batchelor-street-torrens-act-2607/20147796811	1611
