StreetAddressID	StreetAddress	StreetAddressURL	StreetID
63652	1 berndt way	1-berndt-way-coombs-act-2611/201605698811	1816
63653	10 berndt way	10-berndt-way-coombs-act-2611/201605698511	1816
63654	11 berndt way	11-berndt-way-coombs-act-2611/201605698611	1816
63655	12 berndt way	12-berndt-way-coombs-act-2611/201605698711	1816
63656	2 berndt way	2-berndt-way-coombs-act-2611/201605698911	1816
63657	3 berndt way	3-berndt-way-coombs-act-2611/201605699011	1816
63658	4 berndt way	4-berndt-way-coombs-act-2611/201605699111	1816
63659	5 berndt way	5-berndt-way-coombs-act-2611/201605699211	1816
63660	6 berndt way	6-berndt-way-coombs-act-2611/201605699311	1816
63661	7 berndt way	7-berndt-way-coombs-act-2611/201605699411	1816
63662	8 berndt way	8-berndt-way-coombs-act-2611/201605699511	1816
63663	9 berndt way	9-berndt-way-coombs-act-2611/201605699611	1816
63664	1 bill leng	1-bill-leng-street-coombs-act-2611/201605700511	1817
63665	11 bill leng	11-bill-leng-street-coombs-act-2611/201605699911	1817
63666	14 bill leng	14-bill-leng-street-coombs-act-2611/201605700011	1817
63667	15 bill leng	15-bill-leng-street-coombs-act-2611/201605700111	1817
63668	16 bill leng	16-bill-leng-street-coombs-act-2611/201605700211	1817
63669	17 bill leng	17-bill-leng-street-coombs-act-2611/201605700311	1817
63670	19 bill leng	19-bill-leng-street-coombs-act-2611/201605700411	1817
63671	2 bill leng	2-bill-leng-street-coombs-act-2611/201605701011	1817
63672	21 bill leng	21-bill-leng-street-coombs-act-2611/201605700611	1817
63673	23 bill leng	23-bill-leng-street-coombs-act-2611/201605700711	1817
63674	25 bill leng	25-bill-leng-street-coombs-act-2611/201605700811	1817
63675	29 bill leng	29-bill-leng-street-coombs-act-2611/201605700911	1817
63676	3 bill leng	3-bill-leng-street-coombs-act-2611/201605701611	1817
63677	31 bill leng	31-bill-leng-street-coombs-act-2611/201605701111	1817
63678	33 bill leng	33-bill-leng-street-coombs-act-2611/201605701211	1817
63679	35 bill leng	35-bill-leng-street-coombs-act-2611/201605701311	1817
63680	37 bill leng	37-bill-leng-street-coombs-act-2611/201605701411	1817
63681	39 bill leng	39-bill-leng-street-coombs-act-2611/201605701511	1817
63682	4 bill leng	4-bill-leng-street-coombs-act-2611/201605701711	1817
63683	5 bill leng	5-bill-leng-street-coombs-act-2611/201605701811	1817
63684	6 bill leng	6-bill-leng-street-coombs-act-2611/201605701911	1817
63685	7 bill leng	7-bill-leng-street-coombs-act-2611/201605702011	1817
63686	8 bill leng	8-bill-leng-street-coombs-act-2611/201605702111	1817
63687	9 bill leng	9-bill-leng-street-coombs-act-2611/201605702211	1817
63688	10 brownbill street	10-brownbill-street-coombs-act-2611/201605704811	1819
63689	11 brownbill street	11-brownbill-street-coombs-act-2611/201605704911	1819
63690	12 brownbill street	12-brownbill-street-coombs-act-2611/201605705011	1819
63691	13 brownbill street	13-brownbill-street-coombs-act-2611/201605705111	1819
63692	14 brownbill street	14-brownbill-street-coombs-act-2611/201605705211	1819
63693	15 brownbill street	15-brownbill-street-coombs-act-2611/201605705311	1819
63694	16 brownbill street	16-brownbill-street-coombs-act-2611/201605705411	1819
63695	3 brownbill street	3-brownbill-street-coombs-act-2611/201605705511	1819
63696	4 brownbill street	4-brownbill-street-coombs-act-2611/201605705611	1819
63697	5 brownbill street	5-brownbill-street-coombs-act-2611/201605705711	1819
63698	6 brownbill street	6-brownbill-street-coombs-act-2611/201605705811	1819
63699	7 brownbill street	7-brownbill-street-coombs-act-2611/201605705911	1819
63700	8 brownbill street	8-brownbill-street-coombs-act-2611/201605706011	1819
63701	9 brownbill street	9-brownbill-street-coombs-act-2611/201605706111	1819
