StreetAddressID	StreetAddress	StreetAddressURL	StreetID
83588	10 academy close	10-academy-close-campbell-act-2612/2019961811	2472
83589	11 academy close	11-academy-close-campbell-act-2612/201190630311	2472
83590	12 academy close	12-academy-close-campbell-act-2612/20544789311	2472
83591	13 academy close	13-academy-close-campbell-act-2612/201150299011	2472
83592	14 academy close	14-academy-close-campbell-act-2612/201291474311	2472
83593	16 academy close	16-academy-close-campbell-act-2612/20706201811	2472
83594	18 academy close	18-academy-close-campbell-act-2612/201170417311	2472
83595	2 academy close	2-academy-close-campbell-act-2612/20302445611	2472
83596	20 academy close	20-academy-close-campbell-act-2612/2060428311	2472
83597	22 academy close	22-academy-close-campbell-act-2612/201109951611	2472
83598	24 academy close	24-academy-close-campbell-act-2612/20706201911	2472
83599	26 academy close	26-academy-close-campbell-act-2612/2080576611	2472
83600	27 academy close	27-academy-close-campbell-act-2612/20746550011	2472
83601	28 academy close	28-academy-close-campbell-act-2612/20120791011	2472
83602	29 academy close	29-academy-close-campbell-act-2612/20403333111	2472
83603	31 academy close	31-academy-close-campbell-act-2612/20645675111	2472
83604	33 academy close	33-academy-close-campbell-act-2612/2040179911	2472
83605	4 academy close	4-academy-close-campbell-act-2612/201291474411	2472
83606	6 academy close	6-academy-close-campbell-act-2612/201089769911	2472
83607	7 academy close	7-academy-close-campbell-act-2612/20645675211	2472
83608	8 academy close	8-academy-close-campbell-act-2612/2080576711	2472
83609	9 academy close	9-academy-close-campbell-act-2612/20524545211	2472
83610	1 anzac park	1-86-anzac-park-campbell-act-2612/20322886511	2477
83611	10 anzac park	10-86-anzac-park-campbell-act-2612/201110198811	2477
83612	100 anzac park	100-anzac-park-campbell-act-2612/201130336511	2477
83613	102 anzac park	102-anzac-park-campbell-act-2612/2040424311	2477
83614	104 anzac park	104-anzac-park-campbell-act-2612/20322886211	2477
83615	106 anzac park	106-anzac-park-campbell-act-2612/2020217211	2477
83616	108 anzac park	108-anzac-park-campbell-act-2612/20888103511	2477
83617	11 anzac park	11-86-anzac-park-campbell-act-2612/20625804311	2477
83618	110 anzac park	110-anzac-park-campbell-act-2612/20383380511	2477
83619	112 anzac park	112-anzac-park-campbell-act-2612/201110198711	2477
83620	12 anzac park	12-86-anzac-park-campbell-act-2612/20322886411	2477
83621	26 anzac park	26-anzac-park-campbell-act-2612/201687916511	2477
83622	60 anzac park	60-anzac-park-campbell-act-2612/20121042411	2477
83623	62 anzac park	62-anzac-park-campbell-act-2612/201251364211	2477
83624	64 anzac park	64-anzac-park-campbell-act-2612/20262430111	2477
83625	66 anzac park	66-anzac-park-campbell-act-2612/201049641411	2477
83626	68 anzac park	68-anzac-park-campbell-act-2612/201090016311	2477
83627	7 anzac park	7-86-anzac-park-campbell-act-2612/20605616011	2477
83628	70 anzac park	70-anzac-park-campbell-act-2612/20908295711	2477
83629	72 anzac park	72-anzac-park-campbell-act-2612/20807400011	2477
83630	74 anzac park	74-anzac-park-campbell-act-2612/20262430011	2477
83631	76 anzac park	76-anzac-park-campbell-act-2612/20322886311	2477
83632	78 anzac park	78-anzac-park-campbell-act-2612/201009257511	2477
83633	8 anzac park	8-86-anzac-park-campbell-act-2612/201049641511	2477
83634	80 anzac park	80-anzac-park-campbell-act-2612/20443971111	2477
83635	82 anzac park	82-anzac-park-campbell-act-2612/20666069811	2477
83636	84 anzac park	84-anzac-park-campbell-act-2612/20746794711	2477
83637	86 anzac park	86-anzac-park-campbell-act-2612/20423765011	2477
83638	9 anzac park	9-86-anzac-park-campbell-act-2612/20222165711	2477
83639	98 anzac park	98-anzac-park-campbell-act-2612/201170673011	2477
83640	1 blamey crescent	1-103-blamey-crescent-campbell-act-2612/201678188211	2478
83641	1 blamey crescent	1-114-blamey-crescent-campbell-act-2612/201190632511	2478
83642	1 blamey crescent	1-116-blamey-crescent-campbell-act-2612/201069568711	2478
83643	1 blamey crescent	1-126-blamey-crescent-campbell-act-2612/201466129411	2478
83644	1 blamey crescent	1-134-blamey-crescent-campbell-act-2612/201616011111	2478
83645	1 blamey crescent	1-134a-blamey-crescent-campbell-act-2612/201251115511	2478
83646	1 blamey crescent	1-135-blamey-crescent-campbell-act-2612/20605374311	2478
83647	1 blamey crescent	1-136-blamey-crescent-campbell-act-2612/20443723211	2478
83648	1 blamey crescent	1-137-blamey-crescent-campbell-act-2612/201291477211	2478
83649	1 blamey crescent	1-139-blamey-crescent-campbell-act-2612/201316589911	2478
83650	1 blamey crescent	1-165-blamey-crescent-campbell-act-2612/20686015311	2478
83651	1 blamey crescent	1-20-blamey-crescent-campbell-act-2612/20605374411	2478
83652	1 blamey crescent	1-34-blamey-crescent-campbell-act-2612/201454388711	2478
83653	1 blamey crescent	1-49-blamey-crescent-campbell-act-2612/20342923911	2478
83654	1 blamey crescent	1-69-blamey-crescent-campbell-act-2612/2040181811	2478
83655	1 blamey crescent	1-71-blamey-crescent-campbell-act-2612/20282254211	2478
83656	1 blamey crescent	1-73-blamey-crescent-campbell-act-2612/201130089811	2478
83657	10 blamey crescent	10-108-blamey-crescent-campbell-act-2612/201029225711	2478
83658	10 blamey crescent	10-114-blamey-crescent-campbell-act-2612/20221910411	2478
83659	10 blamey crescent	10-116-blamey-crescent-campbell-act-2612/20686015211	2478
83660	10 blamey crescent	10-135-blamey-crescent-campbell-act-2612/20201623511	2478
83661	10 blamey crescent	10-137-blamey-crescent-campbell-act-2612/20322649711	2478
83662	10 blamey crescent	10-143-blamey-crescent-campbell-act-2612/201316589611	2478
83663	10 blamey crescent	10-165-blamey-crescent-campbell-act-2612/20908036411	2478
83664	100 blamey crescent	100-blamey-crescent-campbell-act-2612/201130089711	2478
83665	101 blamey crescent	101-blamey-crescent-campbell-act-2612/2019964411	2478
83666	104 blamey crescent	104-blamey-crescent-campbell-act-2612/20524547011	2478
83667	106 blamey crescent	106-blamey-crescent-campbell-act-2612/20887859511	2478
83668	108 blamey crescent	108-blamey-crescent-campbell-act-2612/2019964511	2478
83669	11 blamey crescent	11-112-blamey-crescent-campbell-act-2612/201230948611	2478
83670	11 blamey crescent	11-114-blamey-crescent-campbell-act-2612/20463953611	2478
83671	11 blamey crescent	11-116-blamey-crescent-campbell-act-2612/20100729711	2478
83672	11 blamey crescent	11-135-blamey-crescent-campbell-act-2612/20524547111	2478
83673	11 blamey crescent	11-137-blamey-crescent-campbell-act-2612/20282254311	2478
83674	11 blamey crescent	11-141-blamey-crescent-campbell-act-2612/201316589711	2478
83675	110 blamey crescent	110-blamey-crescent-campbell-act-2612/201029226011	2478
83676	112 blamey crescent	112-blamey-crescent-campbell-act-2612/20120792911	2478
83677	114 blamey crescent	114-blamey-crescent-campbell-act-2612/20322649511	2478
83678	116 blamey crescent	116-blamey-crescent-campbell-act-2612/201069568811	2478
83679	12 blamey crescent	12-106-blamey-crescent-campbell-act-2612/20484109411	2478
83680	12 blamey crescent	12-114-blamey-crescent-campbell-act-2612/20524546711	2478
83681	12 blamey crescent	12-116-blamey-crescent-campbell-act-2612/20443723411	2478
83682	12 blamey crescent	12-135-blamey-crescent-campbell-act-2612/2060430411	2478
83683	12 blamey crescent	12-137-blamey-crescent-campbell-act-2612/20605374111	2478
83684	12 blamey crescent	12-141-blamey-crescent-campbell-act-2612/201316589811	2478
83685	126 blamey crescent	126-blamey-crescent-campbell-act-2612/20100729611	2478
83686	13 blamey crescent	13-112-blamey-crescent-campbell-act-2612/201170419211	2478
83687	13 blamey crescent	13-114-blamey-crescent-campbell-act-2612/20544791111	2478
83688	13 blamey crescent	13-116-blamey-crescent-campbell-act-2612/20928298111	2478
83689	13 blamey crescent	13-135-blamey-crescent-campbell-act-2612/2080579411	2478
83690	13 blamey crescent	13-137-blamey-crescent-campbell-act-2612/201271278911	2478
83691	130 blamey crescent	130-blamey-crescent-campbell-act-2612/201109953311	2478
83692	132 blamey crescent	132-blamey-crescent-campbell-act-2612/20544791011	2478
83693	134 blamey crescent	134-blamey-crescent-campbell-act-2612/20746552011	2478
83694	134a blamey crescent	134a-blamey-crescent-campbell-act-2612/201190632811	2478
83695	134b blamey crescent	134b-blamey-crescent-campbell-act-2612/201230948911	2478
83696	135 blamey crescent	135-blamey-crescent-campbell-act-2612/20544791511	2478
83697	136 blamey crescent	136-blamey-crescent-campbell-act-2612/20706203811	2478
83698	137 blamey crescent	137-blamey-crescent-campbell-act-2612/20463953911	2478
83699	139 blamey crescent	139-blamey-crescent-campbell-act-2612/201170419511	2478
83700	14 blamey crescent	14-104-blamey-crescent-campbell-act-2612/201029225811	2478
83701	14 blamey crescent	14-114-blamey-crescent-campbell-act-2612/20665826411	2478
83702	14 blamey crescent	14-116-blamey-crescent-campbell-act-2612/201251115311	2478
83703	14 blamey crescent	14-135-blamey-crescent-campbell-act-2612/201251115411	2478
83704	14 blamey crescent	14-137-blamey-crescent-campbell-act-2612/20847508511	2478
83705	141 blamey crescent	141-blamey-crescent-campbell-act-2612/2080579111	2478
83706	142 blamey crescent	142-blamey-crescent-campbell-act-2612/20847508211	2478
83707	143 blamey crescent	143-blamey-crescent-campbell-act-2612/201316705711	2478
83708	144 blamey crescent	144-blamey-crescent-campbell-act-2612/20342923811	2478
83709	145 blamey crescent	145-blamey-crescent-campbell-act-2612/201089771711	2478
83710	146 blamey crescent	146-blamey-crescent-campbell-act-2612/20181441911	2478
