StreetAddressID	StreetAddress	StreetAddressURL	StreetID
94328	11 allman circuit	11-allman-circuit-macquarie-act-2614/20827035511	2793
94329	13 allman circuit	13-allman-circuit-macquarie-act-2614/20463644411	2793
94330	15 allman circuit	15-allman-circuit-macquarie-act-2614/2019659711	2793
94331	17 allman circuit	17-allman-circuit-macquarie-act-2614/20605079811	2793
94332	19 allman circuit	19-allman-circuit-macquarie-act-2614/20887560411	2793
94333	21 allman circuit	21-allman-circuit-macquarie-act-2614/201210501311	2793
94334	23 allman circuit	23-allman-circuit-macquarie-act-2614/20322336811	2793
94335	25 allman circuit	25-allman-circuit-macquarie-act-2614/20705895711	2793
94336	28 allman circuit	28-allman-circuit-macquarie-act-2614/20504016311	2793
94337	30 allman circuit	30-allman-circuit-macquarie-act-2614/20645372011	2793
94338	32 allman circuit	32-allman-circuit-macquarie-act-2614/20948224011	2793
94339	34 allman circuit	34-allman-circuit-macquarie-act-2614/201049086711	2793
94340	36 allman circuit	36-allman-circuit-macquarie-act-2614/20403015411	2793
94341	38 allman circuit	38-allman-circuit-macquarie-act-2614/20746257911	2793
94342	40 allman circuit	40-allman-circuit-macquarie-act-2614/20948224111	2793
94343	42 allman circuit	42-allman-circuit-macquarie-act-2614/201230639911	2793
94344	44 allman circuit	44-allman-circuit-macquarie-act-2614/20746257811	2793
94345	46 allman circuit	46-allman-circuit-macquarie-act-2614/20504016211	2793
94346	47 allman circuit	47-allman-circuit-macquarie-act-2614/20564649411	2793
94347	48 allman circuit	48-allman-circuit-macquarie-act-2614/20867387911	2793
94348	49 allman circuit	49-allman-circuit-macquarie-act-2614/20726078511	2793
94349	51 allman circuit	51-allman-circuit-macquarie-act-2614/201028918411	2793
94350	53 allman circuit	53-allman-circuit-macquarie-act-2614/201028918511	2793
94351	55 allman circuit	55-allman-circuit-macquarie-act-2614/201049086611	2793
94352	57 allman circuit	57-allman-circuit-macquarie-act-2614/20483809411	2793
94353	59 allman circuit	59-allman-circuit-macquarie-act-2614/20625265111	2793
94354	61 allman circuit	61-allman-circuit-macquarie-act-2614/20160893311	2793
94355	7 allman circuit	7-allman-circuit-macquarie-act-2614/20382809611	2793
94356	9 allman circuit	9-allman-circuit-macquarie-act-2614/201089464311	2793
94357	1 arndell street	1-24-arndell-street-macquarie-act-2614/201316866311	2794
94358	1 arndell street	1-40-arndell-street-macquarie-act-2614/20907740111	2794
94359	1 arndell street	1-42-arndell-street-macquarie-act-2614/201316866411	2794
94360	1 arndell street	1-44a-arndell-street-macquarie-act-2614/20988508811	2794
94361	1 arndell street	1-49-arndell-street-macquarie-act-2614/20766437511	2794
94362	1 arndell street	1-57-arndell-street-macquarie-act-2614/20968367311	2794
94363	1 arndell street	1-58a-arndell-street-macquarie-act-2614/201646922911	2794
94364	1 arndell street	1-6b-arndell-street-macquarie-act-2614/201623676011	2794
94365	1 arndell street	1-74a-arndell-street-macquarie-act-2614/20625265211	2794
94366	1 arndell street	1-80a-arndell-street-macquarie-act-2614/201089464411	2794
94367	1 arndell street	1-86-arndell-street-macquarie-act-2614/20665519111	2794
94368	1 arndell street	1-arndell-street-macquarie-act-2614/20120501511	2794
94369	10 arndell street	10-arndell-street-macquarie-act-2614/201129798611	2794
94370	11 arndell street	11-arndell-street-macquarie-act-2614/20483809611	2794
94371	12 arndell street	12-arndell-street-macquarie-act-2614/20423204211	2794
94372	14 arndell street	14-arndell-street-macquarie-act-2614/20483809511	2794
94373	16 arndell street	16-arndell-street-macquarie-act-2614/20847204611	2794
94374	18 arndell street	18-arndell-street-macquarie-act-2614/2060125711	2794
94375	19 arndell street	19-arndell-street-macquarie-act-2614/20382809711	2794
94376	2 arndell street	2-24a-arndell-street-macquarie-act-2614/201316866511	2794
94377	2 arndell street	2-27-arndell-street-macquarie-act-2614/201250815611	2794
94378	2 arndell street	2-40a-arndell-street-macquarie-act-2614/20403015611	2794
94379	2 arndell street	2-42a-arndell-street-macquarie-act-2614/201316866611	2794
94380	2 arndell street	2-44b-arndell-street-macquarie-act-2614/20120501911	2794
94381	2 arndell street	2-49a-arndell-street-macquarie-act-2614/201049086911	2794
94382	2 arndell street	2-57-arndell-street-macquarie-act-2614/201316820211	2794
94383	2 arndell street	2-57a-arndell-street-macquarie-act-2614/2080274611	2794
94384	2 arndell street	2-58b-arndell-street-macquarie-act-2614/201646923011	2794
94385	2 arndell street	2-6a-arndell-street-macquarie-act-2614/201623676111	2794
94386	2 arndell street	2-74b-arndell-street-macquarie-act-2614/20705895811	2794
94387	2 arndell street	2-80b-arndell-street-macquarie-act-2614/20645372211	2794
94388	2 arndell street	2-86a-arndell-street-macquarie-act-2614/20584831411	2794
94389	2 arndell street	2-arndell-street-macquarie-act-2614/201230640211	2794
94390	20 arndell street	20-arndell-street-macquarie-act-2614/20786633211	2794
94391	20a arndell street	20a-arndell-street-macquarie-act-2614/201129798711	2794
94392	20b arndell street	20b-arndell-street-macquarie-act-2614/201678187011	2794
94393	21 arndell street	21-arndell-street-macquarie-act-2614/201049086811	2794
94394	22 arndell street	22-arndell-street-macquarie-act-2614/201069262211	2794
94395	23 arndell street	23-arndell-street-macquarie-act-2614/20867388111	2794
94396	24 arndell street	24-arndell-street-macquarie-act-2614/20968367211	2794
94397	24a arndell street	24a-arndell-street-macquarie-act-2614/20806855411	2794
94398	26 arndell street	26-arndell-street-macquarie-act-2614/201028918611	2794
94399	27 arndell street	27-arndell-street-macquarie-act-2614/20907740311	2794
94400	28 arndell street	28-arndell-street-macquarie-act-2614/20625265311	2794
94401	29 arndell street	29-arndell-street-macquarie-act-2614/20625265411	2794
94402	3 arndell street	3-arndell-street-macquarie-act-2614/20120501611	2794
94403	30 arndell street	30-arndell-street-macquarie-act-2614/20281960811	2794
94404	32 arndell street	32-arndell-street-macquarie-act-2614/20827035611	2794
94405	34 arndell street	34-arndell-street-macquarie-act-2614/201008708211	2794
94406	36 arndell street	36-arndell-street-macquarie-act-2614/20504016411	2794
94407	36a arndell street	36a-arndell-street-macquarie-act-2614/20948224311	2794
94408	37 arndell street	37-arndell-street-macquarie-act-2614/20584831511	2794
94409	38 arndell street	38-arndell-street-macquarie-act-2614/20887560511	2794
94410	39 arndell street	39-arndell-street-macquarie-act-2614/20261885211	2794
94411	4 arndell street	4-arndell-street-macquarie-act-2614/20403015711	2794
94412	40 arndell street	40-arndell-street-macquarie-act-2614/201605972511	2794
94413	40a arndell street	40a-arndell-street-macquarie-act-2614/201069262411	2794
94414	40b arndell street	40b-arndell-street-macquarie-act-2614/2019659811	2794
94415	42 arndell street	42-arndell-street-macquarie-act-2614/201170121211	2794
94416	42a arndell street	42a-arndell-street-macquarie-act-2614/20544490111	2794
94417	44a arndell street	44a-arndell-street-macquarie-act-2614/20847204811	2794
94418	44b arndell street	44b-arndell-street-macquarie-act-2614/20685710611	2794
94419	45 arndell street	45-arndell-street-macquarie-act-2614/20140663311	2794
94420	46 arndell street	46-arndell-street-macquarie-act-2614/20988508711	2794
94421	47 arndell street	47-arndell-street-macquarie-act-2614/201170121111	2794
94422	48 arndell street	48-arndell-street-macquarie-act-2614/2039874311	2794
94423	49 arndell street	49-arndell-street-macquarie-act-2614/20100430211	2794
94424	49a arndell street	49a-arndell-street-macquarie-act-2614/20927998511	2794
94425	50 arndell street	50-arndell-street-macquarie-act-2614/20665519011	2794
94426	51 arndell street	51-arndell-street-macquarie-act-2614/20322337011	2794
94427	52 arndell street	52-arndell-street-macquarie-act-2614/20120501711	2794
94428	53 arndell street	53-arndell-street-macquarie-act-2614/20907740211	2794
94429	54 arndell street	54-arndell-street-macquarie-act-2614/20362687911	2794
94430	55 arndell street	55-arndell-street-macquarie-act-2614/20322337111	2794
94431	56 arndell street	56-arndell-street-macquarie-act-2614/2060125811	2794
94432	57 arndell street	57-arndell-street-macquarie-act-2614/20584831611	2794
94433	57a arndell street	57a-arndell-street-macquarie-act-2614/20847204711	2794
94434	58 arndell street	58-arndell-street-macquarie-act-2614/20463644511	2794
94435	58a arndell street	58a-arndell-street-macquarie-act-2614/201647068211	2794
94436	58b arndell street	58b-arndell-street-macquarie-act-2614/201647068311	2794
94437	59 arndell street	59-arndell-street-macquarie-act-2614/20181136111	2794
94438	6 arndell street	6-arndell-street-macquarie-act-2614/2060125911	2794
94439	60 arndell street	60-arndell-street-macquarie-act-2614/20120501811	2794
94440	61 arndell street	61-arndell-street-macquarie-act-2614/20322336911	2794
94441	62 arndell street	62-arndell-street-macquarie-act-2614/20140663411	2794
94442	63 arndell street	63-arndell-street-macquarie-act-2614/20463644611	2794
94443	64 arndell street	64-arndell-street-macquarie-act-2614/20443423211	2794
94444	65 arndell street	65-arndell-street-macquarie-act-2614/201069262311	2794
94445	66 arndell street	66-arndell-street-macquarie-act-2614/20423204311	2794
94446	68 arndell street	68-arndell-street-macquarie-act-2614/20948224411	2794
94447	6a arndell street	6a-arndell-street-macquarie-act-2614/201623757011	2794
94448	6b arndell street	6b-arndell-street-macquarie-act-2614/201623757111	2794
94449	70 arndell street	70-arndell-street-macquarie-act-2614/20181136011	2794
94450	72 arndell street	72-arndell-street-macquarie-act-2614/20362688011	2794
94451	74a arndell street	74a-arndell-street-macquarie-act-2614/20322337211	2794
94452	74b arndell street	74b-arndell-street-macquarie-act-2614/2019659911	2794
94453	76 arndell street	76-arndell-street-macquarie-act-2614/20342623611	2794
94454	76a arndell street	76a-arndell-street-macquarie-act-2614/201250815711	2794
94455	76b arndell street	76b-arndell-street-macquarie-act-2614/20544490011	2794
94456	78 arndell street	78-arndell-street-macquarie-act-2614/201230640011	2794
94457	8 arndell street	8-arndell-street-macquarie-act-2614/20423204411	2794
94458	80a arndell street	80a-arndell-street-macquarie-act-2614/20281960911	2794
94459	80b arndell street	80b-arndell-street-macquarie-act-2614/20665519211	2794
94460	82 arndell street	82-arndell-street-macquarie-act-2614/20463644711	2794
94461	84 arndell street	84-arndell-street-macquarie-act-2614/201008708311	2794
94462	86 arndell street	86-arndell-street-macquarie-act-2614/20544489911	2794
94463	86a arndell street	86a-arndell-street-macquarie-act-2614/20887560611	2794
94464	86b arndell street	86b-arndell-street-macquarie-act-2614/20968367111	2794
94465	88 arndell street	88-arndell-street-macquarie-act-2614/20786633311	2794
94466	1 badgery street	1-13a-badgery-street-macquarie-act-2614/201466098211	2795
94467	1 badgery street	1-23-badgery-street-macquarie-act-2614/20786633611	2795
94468	1 badgery street	1-33a-badgery-street-macquarie-act-2614/20302143211	2795
94469	1 badgery street	1-badgery-street-macquarie-act-2614/20342623811	2795
94470	10 badgery street	10-badgery-street-macquarie-act-2614/20786633511	2795
94471	11 badgery street	11-badgery-street-macquarie-act-2614/20342623711	2795
94472	12 badgery street	12-badgery-street-macquarie-act-2614/20140663611	2795
94473	13 badgery street	13-badgery-street-macquarie-act-2614/20524248411	2795
94474	13a badgery street	13a-badgery-street-macquarie-act-2614/201466303711	2795
94475	13b badgery street	13b-badgery-street-macquarie-act-2614/201466303811	2795
94476	14 badgery street	14-badgery-street-macquarie-act-2614/20382809811	2795
94477	15 badgery street	15-badgery-street-macquarie-act-2614/20160893511	2795
94478	16 badgery street	16-badgery-street-macquarie-act-2614/20746258111	2795
94479	17 badgery street	17-badgery-street-macquarie-act-2614/20625265611	2795
94480	18 badgery street	18-badgery-street-macquarie-act-2614/20806855511	2795
94481	19 badgery street	19-badgery-street-macquarie-act-2614/20362688111	2795
94482	19a badgery street	19a-badgery-street-macquarie-act-2614/20867388311	2795
94483	2 badgery street	2-13b-badgery-street-macquarie-act-2614/201466098311	2795
94484	2 badgery street	2-33b-badgery-street-macquarie-act-2614/20463644911	2795
94485	2 badgery street	2-badgery-street-macquarie-act-2614/20685710711	2795
94486	20 badgery street	20-badgery-street-macquarie-act-2614/201170121311	2795
94487	21 badgery street	21-badgery-street-macquarie-act-2614/20827035711	2795
94488	22 badgery street	22-badgery-street-macquarie-act-2614/201069262511	2795
94489	23 badgery street	23-badgery-street-macquarie-act-2614/2039874411	2795
94490	24 badgery street	24-badgery-street-macquarie-act-2614/20524248311	2795
94491	25 badgery street	25-badgery-street-macquarie-act-2614/201008708411	2795
