StreetAddressID	StreetAddress	StreetAddressURL	StreetID
100029	1 aldcorn place	1-aldcorn-place-charnwood-act-2615/201170372611	2995
100030	2 aldcorn place	2-aldcorn-place-charnwood-act-2615/20463905111	2995
100031	3 aldcorn place	3-aldcorn-place-charnwood-act-2615/20928251511	2995
100032	4 aldcorn place	4-aldcorn-place-charnwood-act-2615/20524499611	2995
100033	5 aldcorn place	5-aldcorn-place-charnwood-act-2615/20201572811	2995
100034	6 aldcorn place	6-aldcorn-place-charnwood-act-2615/20181396111	2995
100035	1 arkell place	1-arkell-place-charnwood-act-2615/20706157311	2996
100036	10 arkell place	10-arkell-place-charnwood-act-2615/20100681911	2996
100037	11 arkell place	11-arkell-place-charnwood-act-2615/20524499711	2996
100038	12 arkell place	12-arkell-place-charnwood-act-2615/20504273411	2996
100039	13 arkell place	13-arkell-place-charnwood-act-2615/20423454411	2996
100040	2 arkell place	2-arkell-place-charnwood-act-2615/20564899511	2996
100041	3 arkell place	3-arkell-place-charnwood-act-2615/201069524011	2996
100042	4 arkell place	4-arkell-place-charnwood-act-2615/201130042111	2996
100043	5 arkell place	5-arkell-place-charnwood-act-2615/201069523911	2996
100044	6 arkell place	6-arkell-place-charnwood-act-2615/20928251611	2996
100045	7 arkell place	7-arkell-place-charnwood-act-2615/20706157411	2996
100046	8 arkell place	8-arkell-place-charnwood-act-2615/20484060511	2996
100047	9 arkell place	9-arkell-place-charnwood-act-2615/20807100211	2996
100048	1 arrietta close	1-arrietta-close-charnwood-act-2615/201210757911	2997
100049	10 arrietta close	10-arrietta-close-charnwood-act-2615/201251067411	2997
100050	11 arrietta close	11-arrietta-close-charnwood-act-2615/20948466111	2997
100051	12 arrietta close	12-arrietta-close-charnwood-act-2615/20140920111	2997
100052	13 arrietta close	13-arrietta-close-charnwood-act-2615/20484060611	2997
100053	14 arrietta close	14-arrietta-close-charnwood-act-2615/20282207711	2997
100054	15 arrietta close	15-arrietta-close-charnwood-act-2615/20867637111	2997
100055	16 arrietta close	16-arrietta-close-charnwood-act-2615/20504273511	2997
100056	17 arrietta close	17-arrietta-close-charnwood-act-2615/20645628811	2997
100057	18 arrietta close	18-arrietta-close-charnwood-act-2615/20665778211	2997
100058	19 arrietta close	19-arrietta-close-charnwood-act-2615/2019916911	2997
100059	2 arrietta close	2-arrietta-close-charnwood-act-2615/20302396311	2997
100060	20 arrietta close	20-arrietta-close-charnwood-act-2615/201170372711	2997
100061	21 arrietta close	21-arrietta-close-charnwood-act-2615/20383072211	2997
100062	22 arrietta close	22-arrietta-close-charnwood-act-2615/2040132311	2997
100063	24 arrietta close	24-arrietta-close-charnwood-act-2615/20282207611	2997
100064	26 arrietta close	26-arrietta-close-charnwood-act-2615/20484060711	2997
100065	28 arrietta close	28-arrietta-close-charnwood-act-2615/20242042311	2997
100066	3 arrietta close	3-arrietta-close-charnwood-act-2615/20907987011	2997
100067	4 arrietta close	4-arrietta-close-charnwood-act-2615/20867637211	2997
100068	5 arrietta close	5-arrietta-close-charnwood-act-2615/20322597011	2997
100069	6 arrietta close	6-arrietta-close-charnwood-act-2615/20463905211	2997
100070	7 arrietta close	7-arrietta-close-charnwood-act-2615/2040132211	2997
100071	8 arrietta close	8-arrietta-close-charnwood-act-2615/2040132111	2997
100072	9 arrietta close	9-arrietta-close-charnwood-act-2615/20625508011	2997
100073	1 barnes place	1-barnes-place-charnwood-act-2615/20988766811	2999
100074	2 barnes place	2-barnes-place-charnwood-act-2615/201109901411	2999
100075	3 barnes place	3-barnes-place-charnwood-act-2615/2060377811	2999
100076	4 barnes place	4-barnes-place-charnwood-act-2615/20383072311	2999
100077	5 barnes place	5-barnes-place-charnwood-act-2615/20504273611	2999
100078	6 barnes place	6-barnes-place-charnwood-act-2615/201150250311	2999
100079	7 barnes place	7-barnes-place-charnwood-act-2615/2080527511	2999
100080	8 barnes place	8-barnes-place-charnwood-act-2615/201089718511	2999
100081	9 barnes place	9-barnes-place-charnwood-act-2615/20887806511	2999
100082	1 baylis place	1-baylis-place-charnwood-act-2615/20201572911	3000
100083	10 baylis place	10-baylis-place-charnwood-act-2615/201109901511	3000
100084	11 baylis place	11-baylis-place-charnwood-act-2615/2019917011	3000
100085	12 baylis place	12-baylis-place-charnwood-act-2615/20282207811	3000
100086	14 baylis place	14-baylis-place-charnwood-act-2615/20685969511	3000
100087	2 baylis place	2-baylis-place-charnwood-act-2615/201170372811	3000
100088	3 baylis place	3-baylis-place-charnwood-act-2615/20645628911	3000
100089	4 baylis place	4-baylis-place-charnwood-act-2615/20362935911	3000
100090	5 baylis place	5-baylis-place-charnwood-act-2615/201251067511	3000
100091	6 baylis place	6-baylis-place-charnwood-act-2615/201190583611	3000
100092	7 baylis place	7-baylis-place-charnwood-act-2615/20706157511	3000
100093	8 baylis place	8-baylis-place-charnwood-act-2615/20928251711	3000
100094	9 baylis place	9-baylis-place-charnwood-act-2615/20564899611	3000
100095	1 beadle place	1-beadle-place-charnwood-act-2615/20463905311	3001
100096	2 beadle place	2-beadle-place-charnwood-act-2615/20907987111	3001
100097	3 beadle place	3-beadle-place-charnwood-act-2615/20242042411	3001
100098	4 beadle place	4-beadle-place-charnwood-act-2615/20383072411	3001
100099	5 beadle place	5-beadle-place-charnwood-act-2615/20221859411	3001
100100	6 beadle place	6-beadle-place-charnwood-act-2615/20605328611	3001
100101	7 beadle place	7-beadle-place-charnwood-act-2615/2019917111	3001
100102	8 beadle place	8-beadle-place-charnwood-act-2615/20140920211	3001
100103	1 berghofer court	1-6a-berghofer-court-charnwood-act-2615/201210758111	3002
100104	1 berghofer court	1-berghofer-court-charnwood-act-2615/20887806611	3002
100105	11 berghofer court	11-berghofer-court-charnwood-act-2615/20504273811	3002
100106	12 berghofer court	12-berghofer-court-charnwood-act-2615/201150250711	3002
100107	13 berghofer court	13-berghofer-court-charnwood-act-2615/201029176111	3002
100108	14 berghofer court	14-berghofer-court-charnwood-act-2615/20221859511	3002
100109	15 berghofer court	15-berghofer-court-charnwood-act-2615/2019917211	3002
100110	16 berghofer court	16-berghofer-court-charnwood-act-2615/20443670511	3002
100111	17 berghofer court	17-berghofer-court-charnwood-act-2615/20484060911	3002
100112	19 berghofer court	19-berghofer-court-charnwood-act-2615/20544737911	3002
100113	2 berghofer court	2-6b-berghofer-court-charnwood-act-2615/20423454611	3002
100114	2 berghofer court	2-berghofer-court-charnwood-act-2615/201190583911	3002
100115	21 berghofer court	21-berghofer-court-charnwood-act-2615/201271228411	3002
100116	3 berghofer court	3-berghofer-court-charnwood-act-2615/201150250511	3002
100117	4 berghofer court	4-berghofer-court-charnwood-act-2615/201150250611	3002
100118	5 berghofer court	5-berghofer-court-charnwood-act-2615/20242042711	3002
100119	6a berghofer court	6a-berghofer-court-charnwood-act-2615/20988767011	3002
100120	6b berghofer court	6b-berghofer-court-charnwood-act-2615/20201573011	3002
100121	7 berghofer court	7-berghofer-court-charnwood-act-2615/201210758211	3002
100122	9 berghofer court	9-berghofer-court-charnwood-act-2615/20605328811	3002
100123	1 best place	1-best-place-charnwood-act-2615/20161145011	3003
100124	2 best place	2-best-place-charnwood-act-2615/20827288511	3003
100125	3 best place	3-best-place-charnwood-act-2615/20988767111	3003
100126	4 best place	4-best-place-charnwood-act-2615/20242042811	3003
100127	5 best place	5-best-place-charnwood-act-2615/20907987311	3003
100128	7 best place	7-best-place-charnwood-act-2615/20282207911	3003
