StreetAddressID	StreetAddress	StreetAddressURL	StreetID
101388	1 akubra place	1-akubra-place-dunlop-act-2615/20605346911	3098
101389	10 akubra place	10-akubra-place-dunlop-act-2615/20807119411	3098
101390	11 akubra place	11-akubra-place-dunlop-act-2615/201130059511	3098
101391	12 akubra place	12-akubra-place-dunlop-act-2615/20564918211	3098
101392	13 akubra place	13-akubra-place-dunlop-act-2615/20726350211	3098
101393	14 akubra place	14-akubra-place-dunlop-act-2615/201251086511	3098
101394	15 akubra place	15-akubra-place-dunlop-act-2615/201190601711	3098
101395	16 akubra place	16-akubra-place-dunlop-act-2615/20827307511	3098
101396	17 akubra place	17-akubra-place-dunlop-act-2615/201150270911	3098
101397	18 akubra place	18-akubra-place-dunlop-act-2615/20887825911	3098
101398	19 akubra place	19-akubra-place-dunlop-act-2615/20605347011	3098
101399	2 akubra place	2-akubra-place-dunlop-act-2615/20262155911	3098
101400	20 akubra place	20-akubra-place-dunlop-act-2615/20685987711	3098
101401	21 akubra place	21-akubra-place-dunlop-act-2615/20867655811	3098
101402	3 akubra place	3-akubra-place-dunlop-act-2615/20140941211	3098
101403	4 akubra place	4-akubra-place-dunlop-act-2615/20181413611	3098
101404	5 akubra place	5-akubra-place-dunlop-act-2615/20605346811	3098
101405	6 akubra place	6-akubra-place-dunlop-act-2615/20908004711	3098
101406	7 akubra place	7-akubra-place-dunlop-act-2615/20928269811	3098
101407	8 akubra place	8-akubra-place-dunlop-act-2615/20625523511	3098
101408	9 akubra place	9-akubra-place-dunlop-act-2615/20403301811	3098
101409	10 alarmon crescent	10-alarmon-crescent-dunlop-act-2615/20443690411	3099
101410	11 alarmon crescent	11-alarmon-crescent-dunlop-act-2615/201271246411	3099
101411	12 alarmon crescent	12-alarmon-crescent-dunlop-act-2615/20807119511	3099
101412	13 alarmon crescent	13-alarmon-crescent-dunlop-act-2615/2060397911	3099
101413	14 alarmon crescent	14-alarmon-crescent-dunlop-act-2615/201069541011	3099
101414	15 alarmon crescent	15-alarmon-crescent-dunlop-act-2615/20161163311	3099
101415	16 alarmon crescent	16-alarmon-crescent-dunlop-act-2615/2060398011	3099
101416	17 alarmon crescent	17-alarmon-crescent-dunlop-act-2615/201008975411	3099
101417	18 alarmon crescent	18-alarmon-crescent-dunlop-act-2615/20908004811	3099
101418	19 alarmon crescent	19-alarmon-crescent-dunlop-act-2615/201089739211	3099
101419	2 alarmon crescent	2-alarmon-crescent-dunlop-act-2615/20746523311	3099
101420	20 alarmon crescent	20-alarmon-crescent-dunlop-act-2615/201130059611	3099
101421	21 alarmon crescent	21-alarmon-crescent-dunlop-act-2615/20928269911	3099
101422	22 alarmon crescent	22-alarmon-crescent-dunlop-act-2615/201109921811	3099
101423	23 alarmon crescent	23-alarmon-crescent-dunlop-act-2615/20201591111	3099
101424	25 alarmon crescent	25-alarmon-crescent-dunlop-act-2615/20564918311	3099
101425	27 alarmon crescent	27-alarmon-crescent-dunlop-act-2615/20887826011	3099
101426	29 alarmon crescent	29-alarmon-crescent-dunlop-act-2615/2080547711	3099
101427	3 alarmon crescent	3-alarmon-crescent-dunlop-act-2615/20221879311	3099
101428	4 alarmon crescent	4-alarmon-crescent-dunlop-act-2615/20665794911	3099
101429	5 alarmon crescent	5-alarmon-crescent-dunlop-act-2615/201049353311	3099
101430	6 alarmon crescent	6-alarmon-crescent-dunlop-act-2615/20746523211	3099
101431	8 alarmon crescent	8-alarmon-crescent-dunlop-act-2615/20827307611	3099
101432	100 archdall street	100-archdall-street-dunlop-act-2615/20665795011	3101
101433	102 archdall street	102-archdall-street-dunlop-act-2615/20847475211	3101
101434	104 archdall street	104-archdall-street-dunlop-act-2615/20766709111	3101
101435	106 archdall street	106-archdall-street-dunlop-act-2615/20726350311	3101
101436	107 archdall street	107-archdall-street-dunlop-act-2615/201271246511	3101
