StreetAddressID	StreetAddress	StreetAddressURL	StreetID
108425	1 ashburner street	1-ashburner-street-higgins-act-2615/20221849411	3467
108426	10 ashburner street	10-ashburner-street-higgins-act-2615/20685957911	3467
108427	11 ashburner street	11-ashburner-street-higgins-act-2615/20221849511	3467
108428	13 ashburner street	13-ashburner-street-higgins-act-2615/20605318611	3467
108429	15 ashburner street	15-ashburner-street-higgins-act-2615/20585074511	3467
108430	16 ashburner street	16-ashburner-street-higgins-act-2615/20847445311	3467
108431	17 ashburner street	17-ashburner-street-higgins-act-2615/201210746811	3467
108432	18 ashburner street	18-ashburner-street-higgins-act-2615/20968610211	3467
108433	19 ashburner street	19-ashburner-street-higgins-act-2615/20242030911	3467
108434	2 ashburner street	2-ashburner-street-higgins-act-2615/20685958011	3467
108435	21 ashburner street	21-ashburner-street-higgins-act-2615/201271217811	3467
108436	22 ashburner street	22-ashburner-street-higgins-act-2615/201230886611	3467
108437	23 ashburner street	23-ashburner-street-higgins-act-2615/201130031311	3467
108438	24 ashburner street	24-ashburner-street-higgins-act-2615/201190572511	3467
108439	25 ashburner street	25-ashburner-street-higgins-act-2615/201150238711	3467
108440	26 ashburner street	26-ashburner-street-higgins-act-2615/20786874911	3467
108441	27 ashburner street	27-ashburner-street-higgins-act-2615/20524489411	3467
108442	27a ashburner street	27a-ashburner-street-higgins-act-2615/20221849611	3467
108443	29 ashburner street	29-ashburner-street-higgins-act-2615/20463893111	3467
108444	3 ashburner street	3-ashburner-street-higgins-act-2615/20463892911	3467
108445	30 ashburner street	30-ashburner-street-higgins-act-2615/201230886411	3467
108446	31 ashburner street	31-ashburner-street-higgins-act-2615/201109889211	3467
108447	32 ashburner street	32-ashburner-street-higgins-act-2615/201210747211	3467
108448	33 ashburner street	33-ashburner-street-higgins-act-2615/20665765811	3467
108449	34 ashburner street	34-ashburner-street-higgins-act-2615/20242031011	3467
108450	35 ashburner street	35-ashburner-street-higgins-act-2615/20786875111	3467
108451	36 ashburner street	36-ashburner-street-higgins-act-2615/201210746911	3467
108452	37 ashburner street	37-ashburner-street-higgins-act-2615/201210747011	3467
108453	38 ashburner street	38-ashburner-street-higgins-act-2615/20928240011	3467
108454	39 ashburner street	39-ashburner-street-higgins-act-2615/20463892811	3467
108455	4 ashburner street	4-ashburner-street-higgins-act-2615/20484051611	3467
108456	40 ashburner street	40-ashburner-street-higgins-act-2615/20827277811	3467
108457	41 ashburner street	41-ashburner-street-higgins-act-2615/201190572311	3467
108458	42 ashburner street	42-ashburner-street-higgins-act-2615/201190572611	3467
108459	43 ashburner street	43-ashburner-street-higgins-act-2615/20463893011	3467
108460	44 ashburner street	44-ashburner-street-higgins-act-2615/2060366611	3467
108461	45 ashburner street	45-ashburner-street-higgins-act-2615/2019907111	3467
108462	46 ashburner street	46-ashburner-street-higgins-act-2615/20706147811	3467
108463	47 ashburner street	47-ashburner-street-higgins-act-2615/20605318811	3467
108464	48 ashburner street	48-ashburner-street-higgins-act-2615/201291414911	3467
108465	49 ashburner street	49-ashburner-street-higgins-act-2615/20585074611	3467
108466	5 ashburner street	5-ashburner-street-higgins-act-2615/20201561511	3467
108467	50 ashburner street	50-ashburner-street-higgins-act-2615/20504262111	3467
108468	51 ashburner street	51-ashburner-street-higgins-act-2615/201210747111	3467
108469	52 ashburner street	52-ashburner-street-higgins-act-2615/20968610311	3467
108470	53 ashburner street	53-ashburner-street-higgins-act-2615/20706147911	3467
108471	54 ashburner street	54-ashburner-street-higgins-act-2615/201049322611	3467
108472	56 ashburner street	56-ashburner-street-higgins-act-2615/20322585011	3467
108473	58 ashburner street	58-ashburner-street-higgins-act-2615/20605318711	3467
108474	59 ashburner street	59-ashburner-street-higgins-act-2615/20463893211	3467
108475	6 ashburner street	6-ashburner-street-higgins-act-2615/20887795411	3467
108476	60 ashburner street	60-ashburner-street-higgins-act-2615/20322585111	3467
108477	61 ashburner street	61-ashburner-street-higgins-act-2615/201170362211	3467
108478	62 ashburner street	62-ashburner-street-higgins-act-2615/20665765911	3467
108479	63 ashburner street	63-ashburner-street-higgins-act-2615/20907978011	3467
108480	64 ashburner street	64-ashburner-street-higgins-act-2615/201230886511	3467
