StreetAddressID	StreetAddress	StreetAddressURL	StreetID
116883	1 alda place	1-alda-place-melba-act-2615/20928256811	3826
116884	2 alda place	2-alda-place-melba-act-2615/20625513011	3826
116885	3 alda place	3-alda-place-melba-act-2615/201230903611	3826
116886	4 alda place	4-alda-place-melba-act-2615/20827294411	3826
116887	5 alda place	5-alda-place-melba-act-2615/20524504411	3826
116888	6 alda place	6-alda-place-melba-act-2615/20443676111	3826
116889	8 alda place	8-alda-place-melba-act-2615/201109907111	3826
116890	10 alfred hill	10-alfred-hill-drive-melba-act-2615/20827294511	3827
116891	100 alfred hill	100-alfred-hill-drive-melba-act-2615/20504280111	3827
116892	101 alfred hill	101-alfred-hill-drive-melba-act-2615/20726334611	3827
116893	11 alfred hill	11-alfred-hill-drive-melba-act-2615/201029182511	3827
116894	12 alfred hill	12-alfred-hill-drive-melba-act-2615/201170378611	3827
116895	13 alfred hill	13-alfred-hill-drive-melba-act-2615/201210764011	3827
116896	13a alfred hill	13a-alfred-hill-drive-melba-act-2615/20726334811	3827
116897	14 alfred hill	14-alfred-hill-drive-melba-act-2615/20928256911	3827
116898	15 alfred hill	15-alfred-hill-drive-melba-act-2615/201089724611	3827
116899	16 alfred hill	16-alfred-hill-drive-melba-act-2615/20685975511	3827
116900	17 alfred hill	17-alfred-hill-drive-melba-act-2615/2060384111	3827
116901	18 alfred hill	18-alfred-hill-drive-melba-act-2615/20726334711	3827
116902	19 alfred hill	19-alfred-hill-drive-melba-act-2615/201029182411	3827
116903	2 alfred hill	2-44-alfred-hill-drive-melba-act-2615/20665782611	3827
116904	2 alfred hill	2-alfred-hill-drive-melba-act-2615/201230903711	3827
116905	20 alfred hill	20-alfred-hill-drive-melba-act-2615/20625513111	3827
116906	21 alfred hill	21-alfred-hill-drive-melba-act-2615/20302402511	3827
116907	22 alfred hill	22-alfred-hill-drive-melba-act-2615/20322604811	3827
116908	23 alfred hill	23-alfred-hill-drive-melba-act-2615/20887813111	3827
116909	25 alfred hill	25-alfred-hill-drive-melba-act-2615/201190589711	3827
116910	26 alfred hill	26-alfred-hill-drive-melba-act-2615/201170378711	3827
116911	28 alfred hill	28-alfred-hill-drive-melba-act-2615/20201578611	3827
116912	29 alfred hill	29-alfred-hill-drive-melba-act-2615/201251073511	3827
116913	30 alfred hill	30-alfred-hill-drive-melba-act-2615/201170378911	3827
116914	31 alfred hill	31-alfred-hill-drive-melba-act-2615/201029182311	3827
116915	32 alfred hill	32-alfred-hill-drive-melba-act-2615/201089724711	3827
