StreetAddressID	StreetAddress	StreetAddressURL	StreetID
151171	1 airey crescent	1-airey-crescent-fadden-act-2904/201150302611	5048
151172	10 airey crescent	10-airey-crescent-fadden-act-2904/201271281611	5048
151173	11 airey crescent	11-airey-crescent-fadden-act-2904/20242097611	5048
151174	12 airey crescent	12-airey-crescent-fadden-act-2904/20726383911	5048
151175	14 airey crescent	14-airey-crescent-fadden-act-2904/20544793511	5048
151176	16 airey crescent	16-airey-crescent-fadden-act-2904/201150302511	5048
151177	17 airey crescent	17-airey-crescent-fadden-act-2904/20140976111	5048
151178	18 airey crescent	18-airey-crescent-fadden-act-2904/20605376511	5048
151179	19 airey crescent	19-airey-crescent-fadden-act-2904/201089774711	5048
151180	2 airey crescent	2-airey-crescent-fadden-act-2904/20766742011	5048
151181	20 airey crescent	20-airey-crescent-fadden-act-2904/20443726611	5048
151182	21 airey crescent	21-airey-crescent-fadden-act-2904/20181445111	5048
151183	22 airey crescent	22-airey-crescent-fadden-act-2904/20645679911	5048
151184	24 airey crescent	24-airey-crescent-fadden-act-2904/201089774611	5048
151185	25 airey crescent	25-airey-crescent-fadden-act-2904/201130093411	5048
151186	26 airey crescent	26-airey-crescent-fadden-act-2904/201150302711	5048
151187	27 airey crescent	27-airey-crescent-fadden-act-2904/20867688811	5048
151188	29 airey crescent	29-airey-crescent-fadden-act-2904/20463956711	5048
151189	3 airey crescent	3-airey-crescent-fadden-act-2904/20443726711	5048
151190	4 airey crescent	4-airey-crescent-fadden-act-2904/20585140211	5048
151191	6 airey crescent	6-airey-crescent-fadden-act-2904/20443726811	5048
151192	8 airey crescent	8-airey-crescent-fadden-act-2904/20564950511	5048
151193	10 aland place	10-aland-place-fadden-act-2904/20827341811	5049
151194	11 aland place	11-aland-place-fadden-act-2904/20766742111	5049
151195	12 aland place	12-aland-place-fadden-act-2904/20463956811	5049
151196	14 aland place	14-aland-place-fadden-act-2904/20605376611	5049
151197	3 aland place	3-aland-place-fadden-act-2904/2080581411	5049
151198	4 aland place	4-aland-place-fadden-act-2904/201190634911	5049
151199	5 aland place	5-aland-place-fadden-act-2904/20665828511	5049
151200	6 aland place	6-aland-place-fadden-act-2904/20988814511	5049
151201	7 aland place	7-aland-place-fadden-act-2904/20383126411	5049
151202	8 aland place	8-aland-place-fadden-act-2904/20665828611	5049
151203	9 aland place	9-aland-place-fadden-act-2904/201150302811	5049
151204	1 annear place	1-annear-place-fadden-act-2904/201109956211	5050
151205	2 annear place	2-annear-place-fadden-act-2904/20686018011	5050
151206	3 annear place	3-annear-place-fadden-act-2904/20726384011	5050
151207	4 annear place	4-annear-place-fadden-act-2904/2060433311	5050
151208	5 annear place	5-annear-place-fadden-act-2904/20706206511	5050
151209	6 annear place	6-annear-place-fadden-act-2904/20746554211	5050
151210	7 annear place	7-annear-place-fadden-act-2904/20322653011	5050
151211	9 annear place	9-annear-place-fadden-act-2904/20867688911	5050
151212	1 appel crescent	1-appel-crescent-fadden-act-2904/20827341911	5051
151213	10 appel crescent	10-appel-crescent-fadden-act-2904/201130093511	5051
151214	100 appel crescent	100-appel-crescent-fadden-act-2904/20908039411	5051
151215	101 appel crescent	101-appel-crescent-fadden-act-2904/20221914111	5051
151216	11 appel crescent	11-appel-crescent-fadden-act-2904/201271281711	5051
151217	12 appel crescent	12-appel-crescent-fadden-act-2904/20403337911	5051
151218	13 appel crescent	13-appel-crescent-fadden-act-2904/20383126611	5051
151219	14 appel crescent	14-appel-crescent-fadden-act-2904/20161198111	5051
151220	15 appel crescent	15-appel-crescent-fadden-act-2904/20524549511	5051
151221	16 appel crescent	16-appel-crescent-fadden-act-2904/20988814811	5051
151222	17 appel crescent	17-appel-crescent-fadden-act-2904/201109956311	5051
151223	18 appel crescent	18-appel-crescent-fadden-act-2904/201251119311	5051
151224	2 appel crescent	2-appel-crescent-fadden-act-2904/201251119411	5051
151225	20 appel crescent	20-appel-crescent-fadden-act-2904/20443726911	5051
151226	22 appel crescent	22-appel-crescent-fadden-act-2904/201190635011	5051
151227	24 appel crescent	24-appel-crescent-fadden-act-2904/20827342011	5051
151228	26 appel crescent	26-appel-crescent-fadden-act-2904/20383126711	5051
151229	28 appel crescent	28-appel-crescent-fadden-act-2904/201089774911	5051
151230	30 appel crescent	30-appel-crescent-fadden-act-2904/20242097711	5051
151231	32 appel crescent	32-appel-crescent-fadden-act-2904/20625557711	5051
151232	34 appel crescent	34-appel-crescent-fadden-act-2904/20302449911	5051
151233	36 appel crescent	36-appel-crescent-fadden-act-2904/20847510911	5051
151234	38 appel crescent	38-appel-crescent-fadden-act-2904/20100731911	5051
151235	4 appel crescent	4-appel-crescent-fadden-act-2904/201271281811	5051
151236	40 appel crescent	40-appel-crescent-fadden-act-2904/20302450011	5051
151237	42 appel crescent	42-appel-crescent-fadden-act-2904/2040184611	5051
151238	44 appel crescent	44-appel-crescent-fadden-act-2904/20504324611	5051
151239	46 appel crescent	46-appel-crescent-fadden-act-2904/201049390111	5051
151240	48 appel crescent	48-appel-crescent-fadden-act-2904/20383126511	5051
151241	50 appel crescent	50-appel-crescent-fadden-act-2904/20625557811	5051
151242	52 appel crescent	52-appel-crescent-fadden-act-2904/20908039611	5051
151243	54 appel crescent	54-appel-crescent-fadden-act-2904/20484113111	5051
151244	56 appel crescent	56-appel-crescent-fadden-act-2904/20706206611	5051
151245	58 appel crescent	58-appel-crescent-fadden-act-2904/20625557911	5051
151246	6 appel crescent	6-appel-crescent-fadden-act-2904/20342926211	5051
151247	60 appel crescent	60-appel-crescent-fadden-act-2904/2019967911	5051
151248	62 appel crescent	62-appel-crescent-fadden-act-2904/201271281911	5051
151249	64 appel crescent	64-appel-crescent-fadden-act-2904/20181445211	5051
151250	66 appel crescent	66-appel-crescent-fadden-act-2904/20988814611	5051
151251	68 appel crescent	68-appel-crescent-fadden-act-2904/20827342111	5051
151252	7 appel crescent	7-appel-crescent-fadden-act-2904/20706206711	5051
151253	70 appel crescent	70-appel-crescent-fadden-act-2904/20908039511	5051
151254	72 appel crescent	72-appel-crescent-fadden-act-2904/20605376711	5051
151255	74 appel crescent	74-appel-crescent-fadden-act-2904/20786941611	5051
151256	76 appel crescent	76-appel-crescent-fadden-act-2904/2060433411	5051
151257	78 appel crescent	78-appel-crescent-fadden-act-2904/20928300211	5051
151258	8 appel crescent	8-appel-crescent-fadden-act-2904/20625557511	5051
151259	80 appel crescent	80-appel-crescent-fadden-act-2904/20726384111	5051
151260	82 appel crescent	82-appel-crescent-fadden-act-2904/20887862111	5051
151261	84 appel crescent	84-appel-crescent-fadden-act-2904/20766742211	5051
151262	86 appel crescent	86-appel-crescent-fadden-act-2904/20988814711	5051
151263	88 appel crescent	88-appel-crescent-fadden-act-2904/201170422411	5051
151264	9 appel crescent	9-appel-crescent-fadden-act-2904/201089774811	5051
151265	90 appel crescent	90-appel-crescent-fadden-act-2904/20564950611	5051
151266	92 appel crescent	92-appel-crescent-fadden-act-2904/20282257111	5051
151267	94 appel crescent	94-appel-crescent-fadden-act-2904/20948522511	5051
151268	96 appel crescent	96-appel-crescent-fadden-act-2904/20201626811	5051
151269	98 appel crescent	98-appel-crescent-fadden-act-2904/2080581511	5051
151270	99 appel crescent	99-appel-crescent-fadden-act-2904/20625557611	5051
151271	10 bertram street	10-bertram-street-fadden-act-2904/20443727011	5053
151272	11 bertram street	11-bertram-street-fadden-act-2904/20645680011	5053
151273	12 bertram street	12-bertram-street-fadden-act-2904/20140976211	5053
151274	13 bertram street	13-bertram-street-fadden-act-2904/20686018111	5053
151275	14 bertram street	14-bertram-street-fadden-act-2904/2080581611	5053
151276	15 bertram street	15-bertram-street-fadden-act-2904/20484113211	5053
151277	16 bertram street	16-bertram-street-fadden-act-2904/201130093711	5053
151278	17 bertram street	17-bertram-street-fadden-act-2904/20988815011	5053
151279	18 bertram street	18-bertram-street-fadden-act-2904/201190635111	5053
151280	19 bertram street	19-bertram-street-fadden-act-2904/20322653111	5053
151281	20 bertram street	20-bertram-street-fadden-act-2904/20827342211	5053
151282	21 bertram street	21-29-bertram-street-fadden-act-2904/20342926311	5053
151283	22 bertram street	22-bertram-street-fadden-act-2904/20221914311	5053
151284	24 bertram street	24-bertram-street-fadden-act-2904/20463956911	5053
151285	26 bertram street	26-bertram-street-fadden-act-2904/2019968011	5053
151286	3 bertram street	3-bertram-street-fadden-act-2904/2040184711	5053
151287	31 bertram street	31-bertram-street-fadden-act-2904/20504324711	5053
151288	33 bertram street	33-bertram-street-fadden-act-2904/20988814911	5053
151289	35 bertram street	35-bertram-street-fadden-act-2904/20322653211	5053
151290	37 bertram street	37-bertram-street-fadden-act-2904/20746554311	5053
151291	39 bertram street	39-bertram-street-fadden-act-2904/20443727111	5053
151292	4 bertram street	4-bertram-street-fadden-act-2904/20201626911	5053
151293	41 bertram street	41-bertram-street-fadden-act-2904/2019968111	5053
151294	43 bertram street	43-bertram-street-fadden-act-2904/20242097811	5053
151295	45 bertram street	45-bertram-street-fadden-act-2904/20342926411	5053
151296	5 bertram street	5-bertram-street-fadden-act-2904/20585140311	5053
