StreetAddressID	StreetAddress	StreetAddressURL	StreetID
152325	10 badcoe street	10-badcoe-street-gowrie-act-2904/20786939711	5118
152326	11 badcoe street	11-badcoe-street-gowrie-act-2904/20463954111	5118
152327	12 badcoe street	12-badcoe-street-gowrie-act-2904/20140974311	5118
152328	13 badcoe street	13-badcoe-street-gowrie-act-2904/201009007411	5118
152329	14 badcoe street	14-badcoe-street-gowrie-act-2904/201029226911	5118
152330	15 badcoe street	15-badcoe-street-gowrie-act-2904/20362988011	5118
152331	16 badcoe street	16-badcoe-street-gowrie-act-2904/20484110711	5118
152332	17 badcoe street	17-badcoe-street-gowrie-act-2904/20524547611	5118
152333	18 badcoe street	18-badcoe-street-gowrie-act-2904/20887859811	5118
152334	19 badcoe street	19-badcoe-street-gowrie-act-2904/201029226811	5118
152335	2 badcoe street	2-badcoe-street-gowrie-act-2904/20524547511	5118
152336	20 badcoe street	20-badcoe-street-gowrie-act-2904/201210804211	5118
152337	21 badcoe street	21-badcoe-street-gowrie-act-2904/20706204711	5118
152338	22 badcoe street	22-badcoe-street-gowrie-act-2904/201069569211	5118
152339	23 badcoe street	23-badcoe-street-gowrie-act-2904/2019964911	5118
152340	23a badcoe street	23a-badcoe-street-gowrie-act-2904/20928298711	5118
152341	24 badcoe street	24-badcoe-street-gowrie-act-2904/20423511911	5118
152342	25 badcoe street	25-badcoe-street-gowrie-act-2904/20928298611	5118
152343	26 badcoe street	26-badcoe-street-gowrie-act-2904/201291477611	5118
152344	27 badcoe street	27-badcoe-street-gowrie-act-2904/20282255411	5118
152345	28 badcoe street	28-badcoe-street-gowrie-act-2904/20443724511	5118
152346	29 badcoe street	29-badcoe-street-gowrie-act-2904/201230949411	5118
152347	30 badcoe street	30-badcoe-street-gowrie-act-2904/20140974211	5118
152348	32 badcoe street	32-badcoe-street-gowrie-act-2904/20342924511	5118
152349	34 badcoe street	34-badcoe-street-gowrie-act-2904/2040182211	5118
152350	4 badcoe street	4-badcoe-street-gowrie-act-2904/20847508811	5118
152351	6 badcoe street	6-badcoe-street-gowrie-act-2904/201291477711	5118
152352	7 badcoe street	7-badcoe-street-gowrie-act-2904/20968673411	5118
152353	8 badcoe street	8-badcoe-street-gowrie-act-2904/201271279411	5118
152354	9 badcoe street	9-badcoe-street-gowrie-act-2904/20242095811	5118
152355	1 barwick place	1-2-barwick-place-gowrie-act-2904/20988812111	5120
152356	1 barwick place	1-8-barwick-place-gowrie-act-2904/201291477811	5120
152357	1 barwick place	1-barwick-place-gowrie-act-2904/20887859911	5120
152358	10 barwick place	10-barwick-place-gowrie-act-2904/20807154211	5120
152359	2 barwick place	2-8-barwick-place-gowrie-act-2904/201130090711	5120
152360	2 barwick place	2-barwick-place-gowrie-act-2904/201109954111	5120
152361	3 barwick place	3-barwick-place-gowrie-act-2904/201069569311	5120
152362	4 barwick place	4-barwick-place-gowrie-act-2904/201109954211	5120
152363	5 barwick place	5-barwick-place-gowrie-act-2904/201089772011	5120
152364	6 barwick place	6-barwick-place-gowrie-act-2904/20443724611	5120
152365	8 barwick place	8-barwick-place-gowrie-act-2904/20504322311	5120
152366	1 bastin place	1-bastin-place-gowrie-act-2904/201109954311	5121
152367	3 bastin place	3-bastin-place-gowrie-act-2904/20726382111	5121
152368	4 bastin place	4-bastin-place-gowrie-act-2904/201190633511	5121
152369	5 bastin place	5-bastin-place-gowrie-act-2904/20140974411	5121
152370	6 bastin place	6-bastin-place-gowrie-act-2904/20807154311	5121
152371	1 beardsmore place	1-beardsmore-place-gowrie-act-2904/20463954211	5122
152372	10 beardsmore place	10-beardsmore-place-gowrie-act-2904/201271279511	5122
152373	11 beardsmore place	11-beardsmore-place-gowrie-act-2904/201029227011	5122
152374	12 beardsmore place	12-beardsmore-place-gowrie-act-2904/201089772111	5122
152375	13 beardsmore place	13-beardsmore-place-gowrie-act-2904/20887860011	5122
152376	14 beardsmore place	14-beardsmore-place-gowrie-act-2904/201009007511	5122
152377	15 beardsmore place	15-beardsmore-place-gowrie-act-2904/20786939811	5122
152378	2 beardsmore place	2-beardsmore-place-gowrie-act-2904/20746552511	5122
