StreetAddressID	StreetAddress	StreetAddressURL	StreetID
165580	1 ackland place	1-ackland-place-richardson-act-2905/201251121411	5679
165581	2 ackland place	2-ackland-place-richardson-act-2905/20887864011	5679
165582	3 ackland place	3-ackland-place-richardson-act-2905/20807160111	5679
165583	4 ackland place	4-ackland-place-richardson-act-2905/201190638811	5679
165584	5 ackland place	5-ackland-place-richardson-act-2905/2060436011	5679
165585	6 ackland place	6-ackland-place-richardson-act-2905/20686021611	5679
165586	7 ackland place	7-ackland-place-richardson-act-2905/20302452811	5679
165587	8 ackland place	8-ackland-place-richardson-act-2905/201271285011	5679
165588	10 ames place	10-ames-place-richardson-act-2905/20544796011	5680
165589	11 ames place	11-ames-place-richardson-act-2905/20362992411	5680
165590	13 ames place	13-ames-place-richardson-act-2905/2060436411	5680
165591	3 ames place	3-ames-place-richardson-act-2905/20786944211	5680
165592	4 ames place	4-ames-place-richardson-act-2905/201170425911	5680
165593	5 ames place	5-ames-place-richardson-act-2905/20463960211	5680
165594	6 ames place	6-ames-place-richardson-act-2905/2060436311	5680
165595	7 ames place	7-ames-place-richardson-act-2905/20362992511	5680
165596	8 ames place	8-ames-place-richardson-act-2905/20706209611	5680
165597	9 ames place	9-ames-place-richardson-act-2905/2080584411	5680
165598	3 austral place	3-austral-place-richardson-act-2905/20342930111	5682
165599	4 austral place	4-austral-place-richardson-act-2905/20302453111	5682
165600	5 austral place	5-austral-place-richardson-act-2905/20161200611	5682
165601	6 austral place	6-austral-place-richardson-act-2905/20807160311	5682
165602	7 austral place	7-austral-place-richardson-act-2905/20544796111	5682
165603	8 austral place	8-austral-place-richardson-act-2905/201009011811	5682
165604	1 bale place	1-bale-place-richardson-act-2905/20383130211	5683
165605	2 bale place	2-bale-place-richardson-act-2905/20867691811	5683
165606	3 bale place	3-bale-place-richardson-act-2905/20988818311	5683
165607	4 bale place	4-bale-place-richardson-act-2905/20706209711	5683
165608	5 bale place	5-bale-place-richardson-act-2905/201009011911	5683
165609	6 bale place	6-bale-place-richardson-act-2905/201049392711	5683
165610	7 bale place	7-bale-place-richardson-act-2905/20645683311	5683
165611	1 baynton street	1-baynton-street-richardson-act-2905/20686021711	5684
165612	10 baynton street	10-baynton-street-richardson-act-2905/20908042611	5684
165613	11 baynton street	11-baynton-street-richardson-act-2905/2080584511	5684
165614	12 baynton street	12-baynton-street-richardson-act-2905/20766745411	5684
165615	13 baynton street	13-baynton-street-richardson-act-2905/20423516711	5684
165616	14 baynton street	14-baynton-street-richardson-act-2905/20928303011	5684
165617	15 baynton street	15-baynton-street-richardson-act-2905/20140978911	5684
165618	16 baynton street	16-baynton-street-richardson-act-2905/20362992611	5684
165619	17 baynton street	17-baynton-street-richardson-act-2905/20746557111	5684
165620	18 baynton street	18-baynton-street-richardson-act-2905/20706209811	5684
165621	19 baynton street	19-baynton-street-richardson-act-2905/20706209911	5684
165622	2 baynton street	2-baynton-street-richardson-act-2905/201009012011	5684
165623	20 baynton street	20-baynton-street-richardson-act-2905/2080584611	5684
165624	22 baynton street	22-baynton-street-richardson-act-2905/20887864411	5684
165625	24 baynton street	24-baynton-street-richardson-act-2905/20120798511	5684
165626	26 baynton street	26-baynton-street-richardson-act-2905/201109958711	5684
