StreetAddressID	StreetAddress	StreetAddressURL	StreetID
177928	1 brookes street	1-22-brookes-street-mitchell-act-2911/20282303811	6140
177929	1 brookes street	1-23-brookes-street-mitchell-act-2911/20262231211	6140
177930	1 brookes street	1-48-brookes-street-mitchell-act-2911/20262231011	6140
177931	1 brookes street	1-9-brookes-street-mitchell-act-2911/201029274611	6140
177932	10 brookes street	10-12-brookes-street-mitchell-act-2911/20120839311	6140
177933	10 brookes street	10-9-brookes-street-mitchell-act-2911/201029274511	6140
177934	10 brookes street	10-brookes-street-mitchell-act-2911/20908090511	6140
177935	12 brookes street	12-brookes-street-mitchell-act-2911/20887906811	6140
177936	13 brookes street	13-brookes-street-mitchell-act-2911/20948568711	6140
177937	14 brookes street	14-16-brookes-street-mitchell-act-2911/20746597711	6140
177938	14 brookes street	14-brookes-street-mitchell-act-2911/20342973211	6140
177939	16 brookes street	16-brookes-street-mitchell-act-2911/20120839611	6140
177940	17 brookes street	17-brookes-street-mitchell-act-2911/20605422811	6140
177941	18 brookes street	18-20-brookes-street-mitchell-act-2911/20524593411	6140
177942	18 brookes street	18-brookes-street-mitchell-act-2911/2040228911	6140
177943	2 brookes street	2-22-brookes-street-mitchell-act-2911/20746597611	6140
177944	2 brookes street	2-23-brookes-street-mitchell-act-2911/20887906611	6140
177945	2 brookes street	2-48-brookes-street-mitchell-act-2911/2080623011	6140
177946	2 brookes street	2-6-brookes-street-mitchell-act-2911/20524593211	6140
177947	2 brookes street	2-9-brookes-street-mitchell-act-2911/20544836911	6140
177948	20 brookes street	20-brookes-street-mitchell-act-2911/20100775511	6140
177949	21 brookes street	21-23-brookes-street-mitchell-act-2911/20665872911	6140
177950	21 brookes street	21-brookes-street-mitchell-act-2911/20928349211	6140
177951	22 brookes street	22-24-brookes-street-mitchell-act-2911/20847556811	6140
177952	22 brookes street	22-brookes-street-mitchell-act-2911/20120839411	6140
177953	23 brookes street	23-brookes-street-mitchell-act-2911/20645726511	6140
177954	24 brookes street	24-brookes-street-mitchell-act-2911/20605423011	6140
177955	26 brookes street	26-28-brookes-street-mitchell-act-2911/20686061811	6140
177956	26 brookes street	26-brookes-street-mitchell-act-2911/20948568811	6140
177957	28 brookes street	28-brookes-street-mitchell-act-2911/20443770211	6140
177958	3 brookes street	3-22-brookes-street-mitchell-act-2911/20383171911	6140
177959	3 brookes street	3-48-brookes-street-mitchell-act-2911/20564997011	6140
177960	3 brookes street	3-9-brookes-street-mitchell-act-2911/20605422911	6140
177961	35 brookes street	35-49-brookes-street-mitchell-act-2911/20786991111	6140
177962	35 brookes street	35-brookes-street-mitchell-act-2911/20181490611	6140
177963	36 brookes street	36-46-brookes-street-mitchell-act-2911/20625600511	6140
177964	36 brookes street	36-brookes-street-mitchell-act-2911/20665872711	6140
177965	37 brookes street	37-brookes-street-mitchell-act-2911/20807203211	6140
177966	38 brookes street	38-brookes-street-mitchell-act-2911/201251162811	6140
177967	39 brookes street	39-brookes-street-mitchell-act-2911/20524593511	6140
177968	3a brookes street	3a-22-brookes-street-mitchell-act-2911/20564997111	6140
177969	4 brookes street	4-22-brookes-street-mitchell-act-2911/20807203111	6140
177970	4 brookes street	4-48-brookes-street-mitchell-act-2911/20706251611	6140
177971	4 brookes street	4-9-brookes-street-mitchell-act-2911/201110001411	6140
177972	40 brookes street	40-brookes-street-mitchell-act-2911/2020011811	6140
177973	41 brookes street	41-brookes-street-mitchell-act-2911/2040229011	6140
177974	42 brookes street	42-brookes-street-mitchell-act-2911/201170469011	6140
177975	43 brookes street	43-brookes-street-mitchell-act-2911/20262231111	6140
177976	44 brookes street	44-brookes-street-mitchell-act-2911/20665872811	6140
177977	45 brookes street	45-brookes-street-mitchell-act-2911/20968720511	6140
177978	46 brookes street	46-brookes-street-mitchell-act-2911/201210848211	6140
177979	47 brookes street	47-brookes-street-mitchell-act-2911/2080623111	6140
177980	48 brookes street	48-brookes-street-mitchell-act-2911/201110001611	6140
177981	49 brookes street	49-brookes-street-mitchell-act-2911/20908090411	6140
177982	5 brookes street	5-13-brookes-street-mitchell-act-2911/201520602011	6140
177983	5 brookes street	5-22-brookes-street-mitchell-act-2911/20403381811	6140
177984	5 brookes street	5-48-brookes-street-mitchell-act-2911/20262230911	6140
177985	5 brookes street	5-7-brookes-street-mitchell-act-2911/20766782711	6140
177986	5 brookes street	5-9-brookes-street-mitchell-act-2911/20827387011	6140
177987	5 brookes street	5-brookes-street-mitchell-act-2911/20302496211	6140
177988	53 brookes street	53-61-brookes-street-mitchell-act-2911/20484160311	6140
177989	53 brookes street	53-brookes-street-mitchell-act-2911/201049435611	6140
177990	55 brookes street	55-brookes-street-mitchell-act-2911/20342973011	6140
177991	57 brookes street	57-brookes-street-mitchell-act-2911/20908090311	6140
177992	59 brookes street	59-brookes-street-mitchell-act-2911/20524593311	6140
177993	5a brookes street	5a-48-brookes-street-mitchell-act-2911/20564997211	6140
177994	6 brookes street	6-13-brookes-street-mitchell-act-2911/201520602111	6140
177995	6 brookes street	6-8-brookes-street-mitchell-act-2911/20746597811	6140
177996	6 brookes street	6-9-brookes-street-mitchell-act-2911/20766782611	6140
177997	6 brookes street	6-brookes-street-mitchell-act-2911/20464001511	6140
177998	61 brookes street	61-brookes-street-mitchell-act-2911/20383172011	6140
177999	62 brookes street	62-brookes-street-mitchell-act-2911/2060476911	6140
178000	63 brookes street	63-65-brookes-street-mitchell-act-2911/201210848311	6140
178001	63 brookes street	63-brookes-street-mitchell-act-2911/201150346611	6140
178002	64 brookes street	64-66-brookes-street-mitchell-act-2911/20867735811	6140
178003	64 brookes street	64-brookes-street-mitchell-act-2911/20726428411	6140
178004	65 brookes street	65-brookes-street-mitchell-act-2911/201251162711	6140
178005	66 brookes street	66-brookes-street-mitchell-act-2911/20726428511	6140
178006	67 brookes street	67-69-brookes-street-mitchell-act-2911/20887906711	6140
178007	67 brookes street	67-brookes-street-mitchell-act-2911/20746597511	6140
178008	68 brookes street	68-70-brookes-street-mitchell-act-2911/20403381911	6140
178009	68 brookes street	68-brookes-street-mitchell-act-2911/20282303911	6140
178010	69 brookes street	69-brookes-street-mitchell-act-2911/20322696011	6140
178011	7 brookes street	7-13-brookes-street-mitchell-act-2911/201520602211	6140
178012	7 brookes street	7-9-brookes-street-mitchell-act-2911/20968720411	6140
178013	7 brookes street	7-brookes-street-mitchell-act-2911/20464001711	6140
178014	70 brookes street	70-brookes-street-mitchell-act-2911/20363034611	6140
178015	71 brookes street	71-73-brookes-street-mitchell-act-2911/20504366711	6140
178016	71 brookes street	71-brookes-street-mitchell-act-2911/20887906411	6140
178017	72 brookes street	72-74-brookes-street-mitchell-act-2911/20827387111	6140
178018	72 brookes street	72-brookes-street-mitchell-act-2911/20726428611	6140
178019	73 brookes street	73-brookes-street-mitchell-act-2911/20746597411	6140
178020	74 brookes street	74-brookes-street-mitchell-act-2911/20141018211	6140
178021	76 brookes street	76-78-brookes-street-mitchell-act-2911/20383172111	6140
178022	76 brookes street	76-brookes-street-mitchell-act-2911/201230995911	6140
178023	78 brookes street	78-brookes-street-mitchell-act-2911/201049435511	6140
178024	79 brookes street	79-81-brookes-street-mitchell-act-2911/20403382011	6140
178025	79 brookes street	79-brookes-street-mitchell-act-2911/20120839211	6140
178026	8 brookes street	8-13-brookes-street-mitchell-act-2911/201520602311	6140
178027	8 brookes street	8-9-brookes-street-mitchell-act-2911/20544836811	6140
178028	8 brookes street	8-brookes-street-mitchell-act-2911/20302496411	6140
178029	80 brookes street	80-82-brookes-street-mitchell-act-2911/2020011911	6140
178030	80 brookes street	80-brookes-street-mitchell-act-2911/201251162611	6140
178031	81 brookes street	81-brookes-street-mitchell-act-2911/201110001511	6140
178032	82 brookes street	82-brookes-street-mitchell-act-2911/20322696111	6140
178033	9 brookes street	9-13-brookes-street-mitchell-act-2911/20988862911	6140
178034	9 brookes street	9-9-brookes-street-mitchell-act-2911/20686061611	6140
178035	9 brookes street	9-brookes-street-mitchell-act-2911/201230996111	6140
178036	1 buckland street	1-11-buckland-street-mitchell-act-2911/201049435911	6141
178037	1 buckland street	1-15-buckland-street-mitchell-act-2911/201029274811	6141
178038	1 buckland street	1-23-buckland-street-mitchell-act-2911/20746598111	6141
178039	1 buckland street	1-29-buckland-street-mitchell-act-2911/2080623211	6141
178040	10 buckland street	10-29-buckland-street-mitchell-act-2911/20948568911	6141
178041	10 buckland street	10-buckland-street-mitchell-act-2911/20847556911	6141
178042	12 buckland street	12-buckland-street-mitchell-act-2911/201049435811	6141
178043	13 buckland street	13-23-buckland-street-mitchell-act-2911/2040229111	6141
178044	13 buckland street	13-buckland-street-mitchell-act-2911/201029274711	6141
178045	14 buckland street	14-buckland-street-mitchell-act-2911/201271324111	6141
178046	15 buckland street	15-buckland-street-mitchell-act-2911/20201673311	6141
178047	17 buckland street	17-buckland-street-mitchell-act-2911/201170469211	6141
178048	19 buckland street	19-buckland-street-mitchell-act-2911/20464001811	6141
178049	2 buckland street	2-14-buckland-street-mitchell-act-2911/20363034711	6141
178050	2 buckland street	2-29-buckland-street-mitchell-act-2911/20141018411	6141
178051	2 buckland street	2-buckland-street-mitchell-act-2911/2040229211	6141
178052	21 buckland street	21-buckland-street-mitchell-act-2911/20302496811	6141
178053	23 buckland street	23-buckland-street-mitchell-act-2911/20302496511	6141
178054	25 buckland street	25-35-buckland-street-mitchell-act-2911/20484160611	6141
178055	25 buckland street	25-buckland-street-mitchell-act-2911/20302496911	6141
178056	27 buckland street	27-buckland-street-mitchell-act-2911/2080623311	6141
178057	29 buckland street	29-buckland-street-mitchell-act-2911/20141018511	6141
178058	3 buckland street	3-23-buckland-street-mitchell-act-2911/201029274911	6141
