StreetAddressID	StreetAddress	StreetAddressURL	StreetID
182248	1 andersch street	1-14-andersch-street-casey-act-2913/201581688211	6317
182249	1 andersch street	1-22-andersch-street-casey-act-2913/201605666211	6317
182250	11 andersch street	11-andersch-street-casey-act-2913/201566427511	6317
182251	13 andersch street	13-andersch-street-casey-act-2913/201566427611	6317
182252	14 andersch street	14-andersch-street-casey-act-2913/201581883611	6317
182253	15 andersch street	15-andersch-street-casey-act-2913/201566427711	6317
182254	2 andersch street	2-14-andersch-street-casey-act-2913/201581688311	6317
182255	2 andersch street	2-2-andersch-street-casey-act-2913/201605666411	6317
182256	2 andersch street	2-22-andersch-street-casey-act-2913/201605666311	6317
182257	2 andersch street	2-andersch-street-casey-act-2913/201605926311	6317
182258	22 andersch street	22-15-andersch-street-casey-act-2913/201566296711	6317
182259	22 andersch street	22-andersch-street-casey-act-2913/201605926211	6317
182260	23 andersch street	23-15-andersch-street-casey-act-2913/201566296811	6317
182261	24 andersch street	24-15-andersch-street-casey-act-2913/201566296911	6317
182262	25 andersch street	25-15-andersch-street-casey-act-2913/201566297011	6317
182263	25 andersch street	25-andersch-street-casey-act-2913/201605666811	6317
182264	26 andersch street	26-15-andersch-street-casey-act-2913/201566297111	6317
182265	27 andersch street	27-15-andersch-street-casey-act-2913/201566297211	6317
182266	28 andersch street	28-15-andersch-street-casey-act-2913/201566297311	6317
182267	29 andersch street	29-15-andersch-street-casey-act-2913/201566297411	6317
182268	3 andersch street	3-14-andersch-street-casey-act-2913/201581688411	6317
182269	3 andersch street	3-22-andersch-street-casey-act-2913/201605666511	6317
182270	30 andersch street	30-15-andersch-street-casey-act-2913/201566297511	6317
182271	31 andersch street	31-15-andersch-street-casey-act-2913/201566297611	6317
182272	32 andersch street	32-15-andersch-street-casey-act-2913/201566297711	6317
182273	33 andersch street	33-15-andersch-street-casey-act-2913/201566297811	6317
182274	34 andersch street	34-15-andersch-street-casey-act-2913/201566297911	6317
182275	35 andersch street	35-15-andersch-street-casey-act-2913/201566298011	6317
182276	36 andersch street	36-13-andersch-street-casey-act-2913/201566298111	6317
182277	37 andersch street	37-11-andersch-street-casey-act-2913/201566298211	6317
182278	38 andersch street	38-9-andersch-street-casey-act-2913/201566298311	6317
182279	39 andersch street	39-7-andersch-street-casey-act-2913/201566298411	6317
182280	4 andersch street	4-14-andersch-street-casey-act-2913/201581688511	6317
182281	4 andersch street	4-22-andersch-street-casey-act-2913/201605666611	6317
182282	40 andersch street	40-5-andersch-street-casey-act-2913/201566298511	6317
182283	41 andersch street	41-15-andersch-street-casey-act-2913/201566298611	6317
182284	42 andersch street	42-15-andersch-street-casey-act-2913/201566298711	6317
182285	43 andersch street	43-15-andersch-street-casey-act-2913/201566298811	6317
182286	44 andersch street	44-15-andersch-street-casey-act-2913/201566298911	6317
182287	45 andersch street	45-15-andersch-street-casey-act-2913/201566299011	6317
182288	46 andersch street	46-15-andersch-street-casey-act-2913/201566299111	6317
182289	5 andersch street	5-14-andersch-street-casey-act-2913/201581688611	6317
182290	5 andersch street	5-22-andersch-street-casey-act-2913/201605666711	6317
182291	5 andersch street	5-andersch-street-casey-act-2913/201566427811	6317
182292	6 andersch street	6-14-andersch-street-casey-act-2913/201581688711	6317
182293	7 andersch street	7-14-andersch-street-casey-act-2913/201581688811	6317
182294	7 andersch street	7-andersch-street-casey-act-2913/201566427911	6317
182295	8 andersch street	8-14-andersch-street-casey-act-2913/201581688911	6317
182296	9 andersch street	9-andersch-street-casey-act-2913/201566428011	6317
182297	1 annie douglas	1-31a-annie-douglas-street-casey-act-2913/201605668811	6318
182298	1 annie douglas	1-4-annie-douglas-street-casey-act-2913/201581689811	6318
182299	1 annie douglas	1-annie-douglas-street-casey-act-2913/201480874911	6318
182300	10 annie douglas	10-4-annie-douglas-street-casey-act-2913/201581689011	6318
182301	11 annie douglas	11-4-annie-douglas-street-casey-act-2913/201581689111	6318
182302	11 annie douglas	11-annie-douglas-street-casey-act-2913/201480874511	6318
