StreetAddressID	StreetAddress	StreetAddressURL	StreetID
184861	10 alec hope	10-alec-hope-crescent-franklin-act-2913/20504057111	6429
184862	12 alec hope	12-alec-hope-crescent-franklin-act-2913/201291212511	6429
184863	14 alec hope	14-alec-hope-crescent-franklin-act-2913/20665559611	6429
184864	16 alec hope	16-alec-hope-crescent-franklin-act-2913/20221637111	6429
184865	18 alec hope	18-alec-hope-crescent-franklin-act-2913/20463685811	6429
184866	20 alec hope	20-alec-hope-crescent-franklin-act-2913/20382851511	6429
184867	22 alec hope	22-alec-hope-crescent-franklin-act-2913/20968407911	6429
184868	24 alec hope	24-alec-hope-crescent-franklin-act-2913/20120540811	6429
184869	26 alec hope	26-alec-hope-crescent-franklin-act-2913/20140704111	6429
184870	28 alec hope	28-alec-hope-crescent-franklin-act-2913/20968408011	6429
184871	30 alec hope	30-alec-hope-crescent-franklin-act-2913/2060165911	6429
184872	31 alec hope	31-alec-hope-crescent-franklin-act-2913/201109686111	6429
184873	33 alec hope	33-alec-hope-crescent-franklin-act-2913/201008747611	6429
184874	34 alec hope	34-alec-hope-crescent-franklin-act-2913/20403060611	6429
184875	35 alec hope	35-alec-hope-crescent-franklin-act-2913/20544534011	6429
184876	36 alec hope	36-alec-hope-crescent-franklin-act-2913/2039919311	6429
184877	37 alec hope	37-alec-hope-crescent-franklin-act-2913/201089505811	6429
184878	38 alec hope	38-alec-hope-crescent-franklin-act-2913/20806893411	6429
184879	39 alec hope	39-alec-hope-crescent-franklin-act-2913/2080317411	6429
184880	40 alec hope	40-alec-hope-crescent-franklin-act-2913/201109686411	6429
184881	41 alec hope	41-alec-hope-crescent-franklin-act-2913/201109686211	6429
184882	42 alec hope	42-alec-hope-crescent-franklin-act-2913/201109686311	6429
184883	43 alec hope	43-alec-hope-crescent-franklin-act-2913/201069305011	6429
184884	44 alec hope	44-alec-hope-crescent-franklin-act-2913/20504056911	6429
184885	45 alec hope	45-alec-hope-crescent-franklin-act-2913/20463685911	6429
184886	46 alec hope	46-alec-hope-crescent-franklin-act-2913/20504057011	6429
184887	47 alec hope	47-alec-hope-crescent-franklin-act-2913/20302184511	6429
184888	48 alec hope	48-alec-hope-crescent-franklin-act-2913/201230680811	6429
184889	49 alec hope	49-alec-hope-crescent-franklin-act-2913/201049124411	6429
184890	50 alec hope	50-alec-hope-crescent-franklin-act-2913/20403060511	6429
184891	51 alec hope	51-alec-hope-crescent-franklin-act-2913/20322379111	6429
184892	52 alec hope	52-alec-hope-crescent-franklin-act-2913/201089505911	6429
184893	53 alec hope	53-alec-hope-crescent-franklin-act-2913/20988550811	6429
184894	54 alec hope	54-alec-hope-crescent-franklin-act-2913/20524288811	6429
184895	55 alec hope	55-alec-hope-crescent-franklin-act-2913/20221637011	6429
184896	56 alec hope	56-alec-hope-crescent-franklin-act-2913/201250854811	6429
184897	57 alec hope	57-alec-hope-crescent-franklin-act-2913/201170165211	6429
184898	58 alec hope	58-alec-hope-crescent-franklin-act-2913/20867429711	6429
184899	59 alec hope	59-alec-hope-crescent-franklin-act-2913/20726122611	6429
184900	60 alec hope	60-alec-hope-crescent-franklin-act-2913/20423246311	6429
184901	62 alec hope	62-alec-hope-crescent-franklin-act-2913/201230680911	6429
184902	64 alec hope	64-alec-hope-crescent-franklin-act-2913/20423246411	6429
184903	66 alec hope	66-alec-hope-crescent-franklin-act-2913/201250854711	6429
184904	68 alec hope	68-alec-hope-crescent-franklin-act-2913/20544534111	6429
184905	70 alec hope	70-alec-hope-crescent-franklin-act-2913/20806893311	6429
184906	10 alice crist	10-alice-crist-street-franklin-act-2913/20665598411	6430
184907	12 alice crist	12-alice-crist-street-franklin-act-2913/20827115811	6430
184908	14 alice crist	14-alice-crist-street-franklin-act-2913/201150078111	6430
184909	16 alice crist	16-alice-crist-street-franklin-act-2913/20726157611	6430
184910	17 alice crist	17-alice-crist-street-franklin-act-2913/201230720911	6430
184911	18 alice crist	18-alice-crist-street-franklin-act-2913/201466300211	6430
184912	19 alice crist	19-alice-crist-street-franklin-act-2913/20504092711	6430
184913	2 alice crist	2-alice-crist-street-franklin-act-2913/20160970511	6430
184914	20 alice crist	20-alice-crist-street-franklin-act-2913/20786712711	6430
184915	21 alice crist	21-alice-crist-street-franklin-act-2913/201008785311	6430
184916	22 alice crist	22-alice-crist-street-franklin-act-2913/20261963411	6430
184917	23 alice crist	23-alice-crist-street-franklin-act-2913/20867469511	6430
184918	24 alice crist	24-alice-crist-street-franklin-act-2913/20463726611	6430
184919	25 alice crist	25-alice-crist-street-franklin-act-2913/201230721011	6430
184920	27 alice crist	27-alice-crist-street-franklin-act-2913/201230721111	6430
184921	4 alice crist	4-alice-crist-street-franklin-act-2913/201466300311	6430
