StreetAddressID	StreetAddress	StreetAddressURL	StreetID
201351	10 anna morgan	10-anna-morgan-circuit-bonner-act-2914/201466301211	7134
201352	101 anna morgan	101-anna-morgan-circuit-bonner-act-2914/201466300911	7134
201353	103 anna morgan	103-anna-morgan-circuit-bonner-act-2914/201466301011	7134
201354	105 anna morgan	105-anna-morgan-circuit-bonner-act-2914/20928116511	7134
201355	107 anna morgan	107-anna-morgan-circuit-bonner-act-2914/201466301111	7134
201356	109 anna morgan	109-anna-morgan-circuit-bonner-act-2914/20827154811	7134
201357	11 anna morgan	11-anna-morgan-circuit-bonner-act-2914/20726197511	7134
201358	111 anna morgan	111-anna-morgan-circuit-bonner-act-2914/20605194811	7134
201359	12 anna morgan	12-anna-morgan-circuit-bonner-act-2914/20181259611	7134
201360	13 anna morgan	13-anna-morgan-circuit-bonner-act-2914/201049202411	7134
201361	14 anna morgan	14-anna-morgan-circuit-bonner-act-2914/20806967711	7134
201362	15 anna morgan	15-anna-morgan-circuit-bonner-act-2914/201170238611	7134
201363	16 anna morgan	16-anna-morgan-circuit-bonner-act-2914/2080393111	7134
201364	17 anna morgan	17-anna-morgan-circuit-bonner-act-2914/201271098311	7134
201365	18 anna morgan	18-anna-morgan-circuit-bonner-act-2914/20362803311	7134
201366	19 anna morgan	19-anna-morgan-circuit-bonner-act-2914/201466301411	7134
201367	2 anna morgan	2-anna-morgan-circuit-bonner-act-2914/201190448511	7134
201368	20 anna morgan	20-anna-morgan-circuit-bonner-act-2914/201466301511	7134
201369	21 anna morgan	21-anna-morgan-circuit-bonner-act-2914/2060244711	7134
201370	22 anna morgan	22-anna-morgan-circuit-bonner-act-2914/20403138811	7134
201371	23 anna morgan	23-anna-morgan-circuit-bonner-act-2914/20867509611	7134
201372	24 anna morgan	24-anna-morgan-circuit-bonner-act-2914/20968488211	7134
201373	25 anna morgan	25-anna-morgan-circuit-bonner-act-2914/20766557011	7134
201374	26 anna morgan	26-anna-morgan-circuit-bonner-act-2914/20262001711	7134
201375	27 anna morgan	27-anna-morgan-circuit-bonner-act-2914/20504131011	7134
201376	28 anna morgan	28-anna-morgan-circuit-bonner-act-2914/20605194911	7134
201377	29 anna morgan	29-anna-morgan-circuit-bonner-act-2914/20827154911	7134
201378	30 anna morgan	30-anna-morgan-circuit-bonner-act-2914/20120615911	7134
201379	31 anna morgan	31-anna-morgan-circuit-bonner-act-2914/201190448611	7134
201380	32 anna morgan	32-anna-morgan-circuit-bonner-act-2914/20201435411	7134
201381	33 anna morgan	33-anna-morgan-circuit-bonner-act-2914/20766557111	7134
201382	34 anna morgan	34-anna-morgan-circuit-bonner-act-2914/201049202511	7134
201383	35 anna morgan	35-anna-morgan-circuit-bonner-act-2914/20443538611	7134
201384	36 anna morgan	36-anna-morgan-circuit-bonner-act-2914/201466301611	7134
201385	37 anna morgan	37-anna-morgan-circuit-bonner-act-2914/201069387211	7134
201386	38 anna morgan	38-anna-morgan-circuit-bonner-act-2914/2080393011	7134
201387	39 anna morgan	39-anna-morgan-circuit-bonner-act-2914/20726197411	7134
201388	4 anna morgan	4-anna-morgan-circuit-bonner-act-2914/20605194711	7134
201389	40 anna morgan	40-anna-morgan-circuit-bonner-act-2914/20161009811	7134
201390	41 anna morgan	41-anna-morgan-circuit-bonner-act-2914/20302265411	7134
201391	42 anna morgan	42-anna-morgan-circuit-bonner-act-2914/201190448211	7134
201392	43 anna morgan	43-anna-morgan-circuit-bonner-act-2914/201466301711	7134
201393	44 anna morgan	44-anna-morgan-circuit-bonner-act-2914/20564760211	7134
201394	45 anna morgan	45-anna-morgan-circuit-bonner-act-2914/20221717411	7134
201395	46 anna morgan	46-anna-morgan-circuit-bonner-act-2914/201170238511	7134
201396	47 anna morgan	47-65-anna-morgan-circuit-bonner-act-2914/201466301811	7134
201397	48 anna morgan	48-anna-morgan-circuit-bonner-act-2914/201190448311	7134
201398	5 anna morgan	5-anna-morgan-circuit-bonner-act-2914/20746370611	7134
201399	50 anna morgan	50-anna-morgan-circuit-bonner-act-2914/201008825111	7134
201400	52 anna morgan	52-anna-morgan-circuit-bonner-act-2914/20847320511	7134
201401	54 anna morgan	54-anna-morgan-circuit-bonner-act-2914/20302265511	7134
201402	56 anna morgan	56-anna-morgan-circuit-bonner-act-2914/20887677911	7134
201403	58 anna morgan	58-anna-morgan-circuit-bonner-act-2914/20907857511	7134
201404	6 anna morgan	6-anna-morgan-circuit-bonner-act-2914/201250932611	7134
201405	60 anna morgan	60-anna-morgan-circuit-bonner-act-2914/20706022011	7134
201406	62 anna morgan	62-anna-morgan-circuit-bonner-act-2914/201190448411	7134
201407	67 anna morgan	67-anna-morgan-circuit-bonner-act-2914/201069387311	7134
201408	67a anna morgan	67a-anna-morgan-circuit-bonner-act-2914/201566299211	7134
201409	67b anna morgan	67b-anna-morgan-circuit-bonner-act-2914/201566299311	7134
201410	69 anna morgan	69-anna-morgan-circuit-bonner-act-2914/201466301911	7134
201411	7 anna morgan	7-anna-morgan-circuit-bonner-act-2914/20423322811	7134
201412	71 anna morgan	71-anna-morgan-circuit-bonner-act-2914/201466302011	7134
201413	73 anna morgan	73-anna-morgan-circuit-bonner-act-2914/201129914511	7134
201414	73a anna morgan	73a-anna-morgan-circuit-bonner-act-2914/201544007511	7134
201415	73b anna morgan	73b-anna-morgan-circuit-bonner-act-2914/201544007611	7134
201416	75 anna morgan	75-anna-morgan-circuit-bonner-act-2914/20948331911	7134
201417	77 anna morgan	77-anna-morgan-circuit-bonner-act-2914/201466302111	7134
201418	79 anna morgan	79-anna-morgan-circuit-bonner-act-2914/201466302211	7134
201419	8 anna morgan	8-anna-morgan-circuit-bonner-act-2914/20463768311	7134
201420	81 anna morgan	81-anna-morgan-circuit-bonner-act-2914/20867509511	7134
201421	83 anna morgan	83-anna-morgan-circuit-bonner-act-2914/20544607911	7134
201422	85 anna morgan	85-anna-morgan-circuit-bonner-act-2914/201466302311	7134
201423	87 anna morgan	87-anna-morgan-circuit-bonner-act-2914/201466302411	7134
201424	89 anna morgan	89-anna-morgan-circuit-bonner-act-2914/20706022111	7134
201425	9 anna morgan	9-anna-morgan-circuit-bonner-act-2914/20403138911	7134
201426	91 anna morgan	91-anna-morgan-circuit-bonner-act-2914/20362803411	7134
201427	93 anna morgan	93-anna-morgan-circuit-bonner-act-2914/201466302511	7134
201428	95 anna morgan	95-anna-morgan-circuit-bonner-act-2914/201466302611	7134
201429	97 anna morgan	97-anna-morgan-circuit-bonner-act-2914/20443538511	7134
201430	99 anna morgan	99-anna-morgan-circuit-bonner-act-2914/20302265611	7134
201431	1 bani street	1-bani-street-bonner-act-2914/201466098611	7136
201432	2 bani street	2-bani-street-bonner-act-2914/201466098711	7136
201433	3 bani street	3-bani-street-bonner-act-2914/201466098811	7136
201434	4 bani street	4-bani-street-bonner-act-2914/201466098911	7136
201435	5 bani street	5-bani-street-bonner-act-2914/201466099011	7136
201436	6 bani street	6-bani-street-bonner-act-2914/201466099111	7136
201437	7 bani street	7-bani-street-bonner-act-2914/201466099211	7136
201438	8 bani street	8-bani-street-bonner-act-2914/201466099311	7136
201439	10 ben blakeney	10-ben-blakeney-street-bonner-act-2914/201316892511	7138
201440	12 ben blakeney	12-ben-blakeney-street-bonner-act-2914/201466304711	7138
201441	14 ben blakeney	14-ben-blakeney-street-bonner-act-2914/201316892611	7138
201442	16 ben blakeney	16-ben-blakeney-street-bonner-act-2914/201317281211	7138
201443	18 ben blakeney	18-ben-blakeney-street-bonner-act-2914/201317281311	7138
201444	2 ben blakeney	2-ben-blakeney-street-bonner-act-2914/201316892711	7138
201445	20 ben blakeney	20-ben-blakeney-street-bonner-act-2914/201317281411	7138
201446	22 ben blakeney	22-ben-blakeney-street-bonner-act-2914/201466304811	7138
201447	24 ben blakeney	24-ben-blakeney-street-bonner-act-2914/201317281511	7138
201448	26 ben blakeney	26-ben-blakeney-street-bonner-act-2914/201317281611	7138
201449	28 ben blakeney	28-ben-blakeney-street-bonner-act-2914/201317281711	7138
201450	30 ben blakeney	30-ben-blakeney-street-bonner-act-2914/201317281811	7138
201451	31 ben blakeney	31-ben-blakeney-street-bonner-act-2914/201317281911	7138
201452	32 ben blakeney	32-ben-blakeney-street-bonner-act-2914/201317282011	7138
201453	33 ben blakeney	33-ben-blakeney-street-bonner-act-2914/201317282111	7138
201454	34 ben blakeney	34-ben-blakeney-street-bonner-act-2914/201317282211	7138
201455	35 ben blakeney	35-ben-blakeney-street-bonner-act-2914/201317282311	7138
201456	36 ben blakeney	36-ben-blakeney-street-bonner-act-2914/201317282411	7138
201457	37 ben blakeney	37-ben-blakeney-street-bonner-act-2914/201317282511	7138
201458	38 ben blakeney	38-ben-blakeney-street-bonner-act-2914/201317282611	7138
201459	39 ben blakeney	39-ben-blakeney-street-bonner-act-2914/201317282711	7138
201460	4 ben blakeney	4-ben-blakeney-street-bonner-act-2914/201316893011	7138
201461	40 ben blakeney	40-ben-blakeney-street-bonner-act-2914/201316892811	7138
201462	41 ben blakeney	41-ben-blakeney-street-bonner-act-2914/201316892911	7138
201463	6 ben blakeney	6-ben-blakeney-street-bonner-act-2914/201316893211	7138
201464	8 ben blakeney	8-ben-blakeney-street-bonner-act-2914/201316893311	7138
201465	10 bert groves	10-bert-groves-street-bonner-act-2914/201520269611	7139
201466	11 bert groves	11-bert-groves-street-bonner-act-2914/201520269711	7139
201467	12 bert groves	12-bert-groves-street-bonner-act-2914/201520269811	7139
201468	13 bert groves	13-bert-groves-street-bonner-act-2914/201520269911	7139
201469	14 bert groves	14-bert-groves-street-bonner-act-2914/201520270011	7139
201470	2 bert groves	2-bert-groves-street-bonner-act-2914/201520270111	7139
201471	4 bert groves	4-bert-groves-street-bonner-act-2914/201520270211	7139
201472	8 bert groves	8-bert-groves-street-bonner-act-2914/201520270311	7139
201473	9 bert groves	9-bert-groves-street-bonner-act-2914/201520270411	7139
201474	1 bieundurry street	1-bieundurry-street-bonner-act-2914/201466119811	7140
201475	10 bieundurry street	10-bieundurry-street-bonner-act-2914/201466118711	7140
201476	11 bieundurry street	11-bieundurry-street-bonner-act-2914/201466119011	7140
201477	117 bieundurry street	117-bieundurry-street-bonner-act-2914/201466118811	7140
201478	119 bieundurry street	119-bieundurry-street-bonner-act-2914/201466118911	7140
201479	12 bieundurry street	12-bieundurry-street-bonner-act-2914/201466305011	7140
201480	121 bieundurry street	121-bieundurry-street-bonner-act-2914/201466119111	7140
201481	123 bieundurry street	123-bieundurry-street-bonner-act-2914/201466119211	7140
201482	125 bieundurry street	125-bieundurry-street-bonner-act-2914/201466119311	7140
201483	127 bieundurry street	127-bieundurry-street-bonner-act-2914/201466119411	7140
201484	13 bieundurry street	13-bieundurry-street-bonner-act-2914/201466305111	7140
201485	14 bieundurry street	14-bieundurry-street-bonner-act-2914/201466119511	7140
201486	15 bieundurry street	15-bieundurry-street-bonner-act-2914/201466305211	7140
201487	16 bieundurry street	16-bieundurry-street-bonner-act-2914/201466119611	7140
201488	17 bieundurry street	17-bieundurry-street-bonner-act-2914/201466305311	7140
201489	18 bieundurry street	18-bieundurry-street-bonner-act-2914/201466119711	7140
201490	19 bieundurry street	19-bieundurry-street-bonner-act-2914/201466305411	7140
201491	2 bieundurry street	2-bieundurry-street-bonner-act-2914/201466120711	7140
201492	20 bieundurry street	20-bieundurry-street-bonner-act-2914/201466119911	7140
201493	21 bieundurry street	21-bieundurry-street-bonner-act-2914/201466305511	7140
201494	22 bieundurry street	22-bieundurry-street-bonner-act-2914/201466120011	7140
201495	23 bieundurry street	23-bieundurry-street-bonner-act-2914/201466305611	7140
201496	24 bieundurry street	24-bieundurry-street-bonner-act-2914/201466120111	7140
201497	25 bieundurry street	25-bieundurry-street-bonner-act-2914/201466120211	7140
201498	26 bieundurry street	26-bieundurry-street-bonner-act-2914/201466120311	7140
201499	27 bieundurry street	27-bieundurry-street-bonner-act-2914/201466120411	7140
201500	28 bieundurry street	28-bieundurry-street-bonner-act-2914/201466120511	7140
201501	29 bieundurry street	29-bieundurry-street-bonner-act-2914/201466120611	7140
201502	3 bieundurry street	3-bieundurry-street-bonner-act-2914/201466121811	7140
201503	30 bieundurry street	30-bieundurry-street-bonner-act-2914/201466120811	7140
201504	31 bieundurry street	31-bieundurry-street-bonner-act-2914/201466120911	7140
201505	32 bieundurry street	32-bieundurry-street-bonner-act-2914/201466121011	7140
201506	33 bieundurry street	33-bieundurry-street-bonner-act-2914/201466121111	7140
201507	34 bieundurry street	34-bieundurry-street-bonner-act-2914/201466121211	7140
201508	35 bieundurry street	35-bieundurry-street-bonner-act-2914/201466121311	7140
201509	36 bieundurry street	36-bieundurry-street-bonner-act-2914/201466121411	7140
201510	37 bieundurry street	37-bieundurry-street-bonner-act-2914/201466121511	7140
201511	38 bieundurry street	38-bieundurry-street-bonner-act-2914/201466121611	7140
201512	39 bieundurry street	39-bieundurry-street-bonner-act-2914/201466121711	7140
201513	4 bieundurry street	4-bieundurry-street-bonner-act-2914/201466122911	7140
201514	40 bieundurry street	40-bieundurry-street-bonner-act-2914/201466121911	7140
201515	41 bieundurry street	41-bieundurry-street-bonner-act-2914/201466122011	7140
201516	42 bieundurry street	42-bieundurry-street-bonner-act-2914/201466122111	7140
201517	43 bieundurry street	43-bieundurry-street-bonner-act-2914/201466122211	7140
201518	44 bieundurry street	44-bieundurry-street-bonner-act-2914/201466122311	7140
201519	45 bieundurry street	45-bieundurry-street-bonner-act-2914/201466122411	7140
201520	46 bieundurry street	46-bieundurry-street-bonner-act-2914/201466122511	7140
201521	47 bieundurry street	47-bieundurry-street-bonner-act-2914/201466122611	7140
201522	48 bieundurry street	48-bieundurry-street-bonner-act-2914/201466122711	7140
201523	49 bieundurry street	49-bieundurry-street-bonner-act-2914/201466122811	7140
201524	5 bieundurry street	5-bieundurry-street-bonner-act-2914/201466123911	7140
201525	50 bieundurry street	50-bieundurry-street-bonner-act-2914/201466123011	7140
201526	51 bieundurry street	51-bieundurry-street-bonner-act-2914/201466123111	7140
201527	52 bieundurry street	52-bieundurry-street-bonner-act-2914/201466123211	7140
201528	53 bieundurry street	53-bieundurry-street-bonner-act-2914/201466123311	7140
201529	54 bieundurry street	54-bieundurry-street-bonner-act-2914/201466123411	7140
201530	55 bieundurry street	55-bieundurry-street-bonner-act-2914/201466123511	7140
201531	56 bieundurry street	56-bieundurry-street-bonner-act-2914/201466123611	7140
