StreetAddressID	StreetAddress	StreetAddressURL	StreetID
1	5 belmore gardens	5-belmore-gardens-barton-act-2600	2
2	9 belmore gardens	9-belmore-gardens-barton-act-2600	2
3	12 belmore gardens	12-belmore-gardens-barton-act-2600	2
4	7 belmore gardens	7-belmore-gardens-barton-act-2600	2
5	1 belmore gardens	1-belmore-gardens-barton-act-2600	2
6	3 belmore gardens	3-belmore-gardens-barton-act-2600	2
7	16 belmore gardens	16-belmore-gardens-barton-act-2600	2
8	4 belmore gardens	4-belmore-gardens-barton-act-2600	2
9	6 belmore gardens	6-belmore-gardens-barton-act-2600	2
10	2 belmore gardens	2-belmore-gardens-barton-act-2600	2
11	18 belmore gardens	18-belmore-gardens-barton-act-2600	2
12	14 belmore gardens	14-belmore-gardens-barton-act-2600	2
13	8 belmore gardens	8-belmore-gardens-barton-act-2600	2
14	10 belmore gardens	10-belmore-gardens-barton-act-2600	2
15	103 blackall street	103-32-blackall-street-barton-act-2600	3
16	23 blackall street	23-45-blackall-street-barton-act-2600	3
17	92 blackall street	92-45-blackall-street-barton-act-2600	3
18	183 blackall street	183-41-blackall-street-barton-act-2600	3
19	37 blackall street	37-43-blackall-street-barton-act-2600	3
20	43 blackall street	43-blackall-street-barton-act-2600	3
21	13 blackall street	13-40-blackall-street-barton-act-2600	3
22	47 blackall street	47-47-blackall-street-barton-act-2600	3
23	6 blackall street	6-blackall-street-barton-act-2600	3
24	98 blackall street	98-45-blackall-street-barton-act-2600	3
25	106 blackall street	106-32-blackall-street-barton-act-2600	3
26	48 blackall street	48-47-blackall-street-barton-act-2600	3
27	58 blackall street	58-45-blackall-street-barton-act-2600	3
28	33 blackall street	33-30-blackall-street-barton-act-2600	3
29	81 blackall street	81-45-blackall-street-barton-act-2600	3
30	34 blackall street	34-43-blackall-street-barton-act-2600	3
31	80 blackall street	80-32-blackall-street-barton-act-2600	3
32	8 blackall street	8-55-blackall-street-barton-act-2600	3
33	86 blackall street	86-32-blackall-street-barton-act-2600	3
34	12 blackall street	12-45-blackall-street-barton-act-2600	3
35	43 blackall street	43-47-blackall-street-barton-act-2600	3
36	30 blackall street	30-41-blackall-street-barton-act-2600	3
37	35 blackall street	35-45-blackall-street-barton-act-2600	3
38	6 blackall street	6-41-blackall-street-barton-act-2600	3
39	119 blackall street	119-45-blackall-street-barton-act-2600	3
40	3 blackall street	3-41-blackall-street-barton-act-2600	3
41	61 blackall street	61-45-blackall-street-barton-act-2600	3
42	38 blackall street	38-30-blackall-street-barton-act-2600	3
43	142 blackall street	142-43-blackall-street-barton-act-2600	3
44	126 blackall street	126-43-blackall-street-barton-act-2600	3
45	25 blackall street	25-41-blackall-street-barton-act-2600	3
46	121 blackall street	121-32-blackall-street-barton-act-2600	3
47	163 blackall street	163-43-blackall-street-barton-act-2600	3
48	52 blackall street	52-47-blackall-street-barton-act-2600	3
49	73 blackall street	73-45-blackall-street-barton-act-2600	3
50	75 blackall street	75-32-blackall-street-barton-act-2600	3
51	127 blackall street	127-32-blackall-street-barton-act-2600	3
52	12 blackall street	12-41-blackall-street-barton-act-2600	3
53	108 blackall street	108-32-blackall-street-barton-act-2600	3
54	76 blackall street	76-32-blackall-street-barton-act-2600	3
55	77 blackall street	77-32-blackall-street-barton-act-2600	3
56	35 blackall street	35-30-blackall-street-barton-act-2600	3
57	77 blackall street	77-45-blackall-street-barton-act-2600	3
58	49 blackall street	49-47-blackall-street-barton-act-2600	3
59	7 blackall street	7-47-blackall-street-barton-act-2600	3
60	25 blackall street	25-47-blackall-street-barton-act-2600	3
61	73 blackall street	73-32-blackall-street-barton-act-2600	3
62	2 blackall street	2-43-blackall-street-barton-act-2600	3
63	32 blackall street	32-47-blackall-street-barton-act-2600	3
64	95 blackall street	95-45-blackall-street-barton-act-2600	3
65	7 blackall street	7-55-blackall-street-barton-act-2600	3
66	19 blackall street	19-43-blackall-street-barton-act-2600	3
67	37 blackall street	37-45-blackall-street-barton-act-2600	3
68	53 blackall street	53-47-blackall-street-barton-act-2600	3
69	56 blackall street	56-30-blackall-street-barton-act-2600	3
70	114 blackall street	114-45-blackall-street-barton-act-2600	3
71	50 blackall street	50-45-blackall-street-barton-act-2600	3
72	54 blackall street	54-30-blackall-street-barton-act-2600	3
73	59 blackall street	59-30-blackall-street-barton-act-2600	3
74	64 blackall street	64-30-blackall-street-barton-act-2600	3
75	159 blackall street	159-43-blackall-street-barton-act-2600	3
76	189 blackall street	189-41-blackall-street-barton-act-2600	3
